,Start_blink,End_blink,Blink_frame,No_of_frames
0,12,14,13,2
1,27,29,28,2
2,90,94,93,4
3,132,139,133,7
4,141,144,142,3
5,161,164,162,3
6,187,190,188,3
7,233,238,235,5
8,263,266,265,3
9,292,294,292,2
10,311,314,312,3
11,322,326,324,4
12,462,466,464,4
13,479,482,480,3
14,543,548,544,5
15,570,572,571,2
16,581,585,582,4
17,603,607,606,4
18,657,662,658,5
19,699,702,700,3
20,733,737,734,4
21,742,746,743,4
22,757,761,758,4
23,827,831,830,4
24,882,885,883,3
25,925,928,926,3
26,971,973,972,2
27,1002,1004,1003,2
28,1057,1060,1058,3
29,1325,1328,1326,3
30,1456,1463,1458,7
31,1504,1506,1505,2
32,1575,1577,1576,2
33,1626,1630,1628,4
34,1725,1727,1726,2
35,1829,1834,1833,5
36,1887,1889,1888,2
37,1906,1910,1907,4
38,1981,1986,1982,5
39,2089,2094,2091,5
40,2149,2153,2150,4
41,2297,2301,2298,4
42,2352,2357,2353,5
43,2447,2449,2448,2
44,2554,2559,2555,5
45,2601,2605,2602,4
46,2621,2624,2622,3
47,2634,2638,2636,4
48,2698,2702,2701,4
49,2716,2720,2717,4
50,2764,2769,2765,5
51,2775,2778,2776,3
52,2904,2907,2906,3
53,2960,2964,2961,4
54,3159,3162,3160,3
55,3174,3178,3176,4
56,3187,3189,3188,2
57,3231,3241,3233,10
58,3288,3291,3289,3
59,3350,3352,3351,2
60,3421,3427,3425,6
61,3495,3497,3496,2
62,3579,3582,3581,3
63,3685,3688,3687,3
64,3715,3717,3716,2
65,3795,3798,3796,3
66,3832,3837,3834,5
67,3847,3850,3848,3
68,3915,3916,3915,1
69,3933,3934,3933,1
70,3971,3973,3972,2
71,4124,4132,4126,8
72,4173,4175,4174,2
73,4186,4190,4187,4
74,4265,4267,4266,2
75,4274,4278,4275,4
76,4312,4316,4314,4
77,4364,4371,4365,7
78,4452,4454,4453,2
79,4517,4522,4518,5
80,4558,4560,4559,2
81,4644,4646,4645,2
82,4697,4699,4698,2
83,4743,4745,4744,2
84,4768,4773,4772,5
85,4786,4791,4788,5
86,4848,4852,4849,4
87,4872,4883,4873,11
88,4919,4930,4922,11
89,4945,4953,4947,8
90,4985,4987,4986,2
91,4995,4997,4996,2
92,5038,5042,5041,4
93,5076,5083,5078,7
94,5143,5146,5144,3
95,5161,5165,5163,4
96,5196,5199,5197,3
97,5234,5238,5235,4
98,5246,5251,5248,5
99,5279,5281,5280,2
100,5321,5326,5323,5
101,5354,5360,5357,6
102,5392,5395,5393,3
103,5475,5483,5477,8
104,5530,5533,5531,3
105,5666,5673,5667,7
106,5758,5760,5759,2
107,5770,5772,5771,2
108,5797,5802,5798,5
109,5810,5815,5813,5
110,5919,5921,5920,2
111,5985,5993,5988,8
112,6184,6189,6185,5
113,6193,6195,6194,2
114,6207,6224,6209,17
115,6240,6245,6243,5
116,6260,6263,6261,3
117,6377,6385,6378,8
118,6449,6454,6451,5
119,6498,6500,6499,2
120,6587,6591,6589,4
121,6663,6667,6664,4
122,6825,6829,6828,4
123,6970,6974,6972,4
124,7036,7038,7037,2
125,7116,7121,7118,5
126,7197,7201,7198,4
127,7234,7240,7238,6
128,7254,7259,7256,5
129,7324,7327,7326,3
130,7400,7415,7402,15
131,7585,7591,7586,6
132,7642,7645,7643,3
133,7752,7755,7753,3
134,7774,7778,7776,4
135,7784,7789,7786,5
136,7843,7847,7845,4
137,7858,7861,7859,3
138,7869,7872,7870,3
139,7914,7917,7915,3
140,7956,7961,7957,5
141,8006,8010,8008,4
142,8058,8062,8059,4
143,8081,8083,8082,2
144,8095,8100,8098,5
145,8184,8188,8185,4
146,8252,8256,8253,4
147,8296,8300,8299,4
148,8367,8371,8368,4
149,8377,8381,8378,4
150,8595,8598,8595,3
151,8666,8670,8668,4
152,8921,8924,8922,3
153,8951,8954,8953,3
154,9116,9120,9117,4
155,9330,9334,9332,4
156,9414,9417,9416,3
157,9472,9476,9474,4
158,9588,9592,9589,4
159,9741,9745,9742,4
160,9754,9759,9757,5
161,9953,9956,9954,3
162,9968,9973,9969,5
163,10118,10131,10120,13
164,10132,10138,10132,6
165,10298,10309,10301,11
166,10459,10463,10461,4
167,10793,10795,10794,2
168,10863,10866,10864,3
169,10919,10922,10920,3
170,10956,10961,10957,5
171,11024,11027,11025,3
172,11148,11150,11149,2
173,11186,11189,11188,3
174,11261,11265,11264,4
175,11341,11344,11343,3
176,11386,11389,11388,3
177,11615,11617,11616,2
178,11718,11721,11719,3
179,11740,11743,11741,3
180,11785,11788,11786,3
181,11964,11967,11966,3
182,12045,12063,12046,18
183,12126,12129,12127,3
184,12189,12192,12190,3
185,12245,12258,12248,13
186,12350,12355,12352,5
187,12512,12516,12515,4
188,12527,12531,12528,4
189,12553,12557,12554,4
190,12699,12701,12700,2
191,12809,12814,12812,5
192,12880,12882,12881,2
193,12890,12893,12890,3
194,12933,12936,12935,3
195,13154,13157,13155,3
196,13319,13324,13321,5
197,13351,13369,13352,18
198,13421,13437,13424,16
199,13442,13445,13444,3
200,13633,13636,13634,3
201,17350,17355,17350,5
202,17399,17408,17403,9
203,17442,17444,17442,2
204,17651,17655,17653,4
205,17744,17746,17744,2
206,17815,17819,17818,4
207,17838,17840,17839,2
208,17859,17865,17860,6
