,Start_blink,End_blink,Blink_frame,No_of_frames
0,23,29,26,6
1,51,68,54,17
2,91,96,94,5
3,119,136,122,17
4,241,254,244,13
5,319,332,321,13
6,362,365,362,3
7,627,631,629,4
8,658,670,661,12
9,713,719,715,6
10,889,894,891,5
11,1188,1192,1190,4
12,1217,1225,1217,8
13,1315,1322,1317,7
14,1366,1370,1366,4
15,1397,1404,1400,7
16,1487,1492,1489,5
17,1497,1502,1498,5
18,1534,1539,1536,5
19,1589,1596,1591,7
20,1686,1690,1688,4
21,1752,1762,1755,10
22,1793,1798,1795,5
23,1827,1845,1830,18
24,1925,1929,1927,4
25,1977,1988,1977,11
26,1989,1992,1989,3
27,2031,2034,2031,3
28,2055,2060,2057,5
29,2087,2090,2087,3
30,2283,2289,2285,6
31,2298,2301,2298,3
32,2398,2401,2398,3
33,2548,2557,2551,9
34,2745,2751,2747,6
35,2821,2826,2823,5
36,2846,2851,2849,5
37,2927,2932,2930,5
38,2950,2955,2952,5
39,2989,2995,2991,6
40,3025,3030,3027,5
41,3079,3095,3079,16
42,3203,3206,3205,3
43,3217,3227,3219,10
44,3258,3267,3260,9
45,3277,3282,3280,5
46,3409,3417,3409,8
47,3499,3505,3499,6
48,3689,3803,3689,114
49,3804,3807,3804,3
50,3898,3904,3900,6
51,3909,3914,3911,5
52,3941,3955,3941,14
53,3994,3998,3995,4
54,4083,4086,4084,3
55,4203,4209,4205,6
56,4233,4246,4236,13
57,4308,4313,4308,5
58,4319,4325,4321,6
59,4405,4409,4405,4
60,4453,4470,4453,17
61,4513,4522,4515,9
62,4588,4606,4591,18
63,4700,4709,4702,9
64,4752,4759,4755,7
65,4803,4807,4803,4
66,4889,5126,4889,237
67,5127,5135,5127,8
68,5165,5173,5165,8
69,5202,5231,5202,29
70,5246,5253,5248,7
71,5306,5311,5309,5
72,5364,5367,5364,3
73,5393,5410,5394,17
74,5629,5674,5630,45
75,5683,5697,5686,14
76,5782,5820,5782,38
77,5916,5921,5918,5
78,6041,6044,6041,3
79,6137,6143,6139,6
80,6341,6349,6343,8
81,6461,6465,6461,4
82,6539,6542,6539,3
83,6565,6576,6567,11
84,6638,6641,6638,3
85,6737,6743,6737,6
86,6877,6917,6877,40
87,6952,6954,6952,2
88,6975,6979,6975,4
89,7084,7087,7084,3
90,7108,7124,7108,16
91,7125,7131,7125,6
92,7138,7144,7140,6
93,7293,7373,7293,80
94,7603,7609,7605,6
95,7723,7728,7725,5
96,7744,7750,7744,6
97,7806,7812,7806,6
98,7834,7840,7836,6
99,7903,7918,7906,15
100,8075,8080,8077,5
101,8143,8146,8143,3
102,8208,8211,8208,3
103,8292,8295,8294,3
104,8347,8352,8347,5
105,8371,8374,8371,3
106,8395,8397,8395,2
107,8461,8491,8461,30
108,8603,8608,8603,5
109,8637,8647,8637,10
110,8815,8817,8815,2
111,9159,9166,9159,7
112,9210,9214,9212,4
113,9274,9279,9274,5
114,9433,9438,9433,5
115,9666,9671,9667,5
116,9717,9749,9717,32
117,9764,9775,9764,11
118,9796,9801,9796,5
119,9822,9829,9824,7
120,9852,9864,9855,12
121,9883,9889,9884,6
122,9987,9994,9990,7
123,10113,10116,10113,3
124,10170,10176,10170,6
125,10284,10303,10284,19
126,10304,10307,10304,3
127,10407,10413,10410,6
128,10427,10441,10428,14
129,10478,10493,10480,15
130,10522,10529,10525,7
131,10604,10610,10604,6
132,10643,10648,10643,5
133,10965,10969,10965,4
134,11419,11428,11420,9
135,11503,11509,11506,6
136,11648,11651,11648,3
137,11730,11735,11732,5
138,12285,12311,12287,26
139,12360,12363,12360,3
140,12390,12396,12392,6
141,12441,12444,12441,3
142,12501,12507,12501,6
143,12530,12535,12530,5
144,12561,12567,12564,6
145,12632,12639,12632,7
146,12668,12673,12668,5
147,12786,12790,12786,4
148,13003,13014,13003,11
149,13039,13049,13041,10
150,13122,13126,13123,4
151,13242,13247,13244,5
152,13257,13263,13259,6
153,13518,13527,13518,9
154,13583,13596,13583,13
155,13692,13699,13692,7
156,13745,13749,13747,4
157,13763,13770,13765,7
158,13852,13857,13854,5
159,13906,13910,13908,4
160,13952,13958,13955,6
161,14080,14089,14082,9
162,14135,14139,14137,4
163,14156,14163,14157,7
164,14286,14289,14286,3
165,14427,14430,14427,3
166,14478,14485,14478,7
167,14494,14496,14494,2
168,14504,14510,14506,6
169,14557,14560,14557,3
170,14593,14599,14593,6
171,14647,14652,14647,5
172,14688,14695,14689,7
173,14760,14780,14763,20
174,14822,14831,14822,9
175,14874,14879,14876,5
176,14900,14904,14900,4
177,14996,15002,14996,6
178,15039,15115,15039,76
179,15116,15120,15116,4
180,15167,15173,15169,6
181,15201,15206,15201,5
182,15314,15325,15314,11
183,15332,15336,15333,4
184,15376,15382,15377,6
185,15390,15395,15392,5
186,15462,15475,15462,13
187,15504,15510,15504,6
188,15567,15572,15567,5
189,15597,15601,15599,4
190,15690,15692,15690,2
191,15704,15707,15704,3
192,15802,15806,15804,4
193,15827,15830,15827,3
194,15931,15933,15931,2
195,15996,16002,15996,6
196,16035,16046,16035,11
197,16092,16095,16092,3
198,16160,16169,16160,9
199,16170,16173,16170,3
200,16384,16391,16384,7
201,16700,16708,16701,8
202,16711,16716,16713,5
203,16748,16751,16750,3
204,16771,16779,16771,8
205,17023,17028,17025,5
206,17114,17117,17114,3
207,17164,17169,17167,5
208,17226,17228,17226,2
209,17259,17267,17261,8
210,17299,17302,17299,3
211,17338,17340,17338,2
212,17470,17472,17470,2
213,17552,17558,17552,6
214,17587,17592,17589,5
215,17663,17668,17663,5
216,17735,17742,17737,7
217,17791,17794,17791,3
218,17885,17890,17885,5
219,17895,17899,17896,4
220,17968,17970,17968,2
221,18031,18035,18031,4
222,18049,18053,18049,4
223,18146,18153,18147,7
224,18229,18231,18229,2
225,18267,18278,18269,11
226,18293,18298,18295,5
227,18439,18454,18439,15
228,18483,18487,18483,4
229,18605,18609,18605,4
230,18620,18623,18620,3
231,18680,18684,18680,4
232,18737,18740,18737,3
233,18786,18794,18786,8
234,18809,18814,18811,5
235,18913,18919,18913,6
236,19013,19016,19013,3
237,19050,19055,19050,5
238,19183,19188,19183,5
239,19254,19260,19257,6
240,19275,19281,19275,6
241,19383,19398,19383,15
242,19840,19847,19843,7
243,20083,20093,20083,10
244,20217,20223,20219,6
245,20607,20611,20607,4
246,20699,20706,20699,7
247,20741,20744,20741,3
248,20799,20804,20801,5
249,20889,20892,20889,3
250,20922,20927,20922,5
251,20932,20935,20932,3
252,21251,21262,21251,11
253,21433,21445,21433,12
254,21597,21603,21597,6
255,21683,21686,21683,3
256,21690,21695,21692,5
257,21844,21851,21846,7
258,21881,21887,21881,6
259,22133,22142,22133,9
260,22450,22456,22450,6
261,22512,22518,22514,6
262,22539,22543,22539,4
263,22559,22563,22559,4
264,22594,22616,22594,22
265,22641,22658,22641,17
266,22743,22747,22743,4
267,22778,22785,22778,7
268,22805,22808,22805,3
269,22816,22824,22816,8
270,22873,22882,22873,9
271,22959,22965,22959,6
272,22975,22980,22977,5
273,23016,23019,23016,3
274,23051,23055,23051,4
275,23090,23094,23090,4
276,23199,23203,23199,4
277,23332,23336,23332,4
278,23382,23386,23382,4
279,23460,23463,23460,3
280,23610,23628,23610,18
281,23658,23661,23658,3
282,23739,23744,23739,5
283,23757,23762,23757,5
284,23846,23851,23846,5
285,23894,23899,23894,5
286,23934,23937,23934,3
287,23983,23987,23983,4
288,23994,24000,23997,6
289,24088,24093,24088,5
290,24119,24122,24119,3
291,24165,24172,24165,7
292,24275,24279,24275,4
293,24295,24300,24297,5
294,24328,24333,24328,5
295,24520,24526,24520,6
296,24816,24822,24816,6
297,24838,24851,24838,13
298,24887,24891,24887,4
299,25109,25114,25109,5
300,25763,25777,25763,14
301,25821,25858,25821,37
302,25859,25864,25859,5
303,26054,26076,26054,22
304,26096,26103,26099,7
305,26270,26274,26270,4
306,26539,26542,26539,3
307,26551,26569,26551,18
