,Start_blink,End_blink,Blink_frame,No_of_frames
0,18,21,18,3
1,90,104,90,14
2,159,163,160,4
3,248,254,250,6
4,439,445,439,6
5,607,611,607,4
6,688,691,688,3
7,698,703,700,5
8,954,963,955,9
9,1168,1200,1168,32
10,1328,1333,1328,5
11,1409,1416,1409,7
12,1572,1582,1572,10
13,1656,1673,1656,17
14,1744,1747,1744,3
15,1905,1909,1905,4
16,1973,1980,1973,7
17,2026,2029,2026,3
18,2037,2043,2037,6
19,2069,2076,2071,7
20,2127,2133,2127,6
21,2138,2144,2140,6
22,2186,2188,2186,2
23,2296,2304,2298,8
24,2494,2498,2494,4
25,2530,2536,2530,6
26,2624,2629,2624,5
27,2945,2950,2945,5
28,3017,3020,3017,3
29,3170,3172,3170,2
30,3266,3271,3268,5
31,3278,3281,3278,3
32,3320,3322,3320,2
33,3494,3500,3494,6
34,3559,3563,3559,4
35,3608,3611,3608,3
36,3736,3813,3736,77
37,3814,3820,3814,6
38,3980,3983,3980,3
39,4071,4078,4071,7
40,4134,4140,4134,6
41,4221,4222,4221,1
42,4284,4288,4285,4
43,4591,4595,4591,4
44,4607,4610,4607,3
45,4638,4648,4638,10
46,4649,4652,4649,3
47,4902,4907,4902,5
48,5116,5125,5117,9
49,5241,5253,5241,12
50,5346,5351,5346,5
51,5511,5516,5511,5
52,5576,5593,5577,17
53,5673,5681,5675,8
54,5723,5740,5723,17
55,5770,5775,5770,5
56,5883,5889,5885,6
57,6138,6143,6138,5
58,6213,6216,6213,3
59,6323,6329,6323,6
60,6362,6366,6362,4
61,6413,6419,6415,6
62,6454,6456,6454,2
63,6507,6528,6507,21
64,6628,6631,6628,3
65,6693,6696,6693,3
66,6769,6775,6769,6
67,6838,6842,6838,4
68,7026,7037,7026,11
69,7418,7427,7418,9
70,7566,7573,7566,7
71,7599,7614,7601,15
72,7751,7757,7753,6
73,8022,8024,8022,2
74,8253,8257,8253,4
75,8314,8321,8314,7
76,8401,8409,8403,8
77,8432,8437,8432,5
78,8937,8946,8937,9
79,9621,9624,9621,3
80,9630,9638,9630,8
81,9779,9791,9779,12
82,9824,9830,9824,6
83,9859,9869,9860,10
84,9928,9932,9928,4
85,9983,9985,9983,2
86,10032,10037,10032,5
87,10105,10107,10105,2
88,10218,10224,10218,6
89,10343,10353,10343,10
90,10466,10480,10468,14
91,10499,10505,10499,6
92,10697,10703,10699,6
93,10731,10736,10732,5
94,10776,10792,10776,16
95,10847,10856,10848,9
96,10953,10957,10953,4
97,10964,10969,10964,5
98,11018,11025,11018,7
99,11075,11079,11075,4
100,11128,11133,11128,5
101,11202,11208,11202,6
102,11407,11413,11407,6
103,11644,11648,11644,4
104,11765,11775,11766,10
105,11776,11779,11776,3
106,11862,11868,11863,6
107,11873,11875,11873,2
108,11932,11938,11933,6
109,12099,12102,12099,3
110,12129,12134,12129,5
111,12202,12205,12202,3
112,12225,12230,12226,5
113,12317,12324,12318,7
114,12518,12522,12518,4
115,12599,12606,12599,7
116,12638,12641,12638,3
117,12660,12666,12661,6
118,12715,12723,12715,8
119,12755,12767,12755,12
120,12909,12914,12911,5
121,13114,13118,13114,4
122,13122,13127,13125,5
123,13146,13149,13146,3
124,13265,13274,13265,9
125,13275,13278,13275,3
126,13443,13449,13444,6
127,13473,13480,13473,7
128,13581,13588,13581,7
129,13756,13761,13756,5
130,13797,13801,13798,4
131,14073,14079,14073,6
132,14191,14198,14191,7
133,14392,14396,14394,4
134,14460,14463,14460,3
135,14545,14550,14545,5
136,14908,14911,14908,3
137,14979,14986,14979,7
138,15032,15051,15032,19
139,15155,15160,15155,5
140,15213,15228,15213,15
141,15250,15268,15253,18
142,15319,15324,15319,5
143,15406,15410,15406,4
144,15488,15494,15488,6
145,15533,15540,15533,7
146,15767,15771,15767,4
147,15806,15812,15807,6
148,15879,15906,15879,27
149,15915,15920,15917,5
150,16039,16068,16039,29
151,16123,16129,16124,6
152,16190,16194,16190,4
153,16386,16394,16388,8
154,16410,16418,16412,8
155,16473,16477,16473,4
156,16542,16545,16542,3
