,Start_blink,End_blink,Blink_frame,No_of_frames
0,5,9,7,4
1,148,153,149,5
2,562,565,563,3
3,636,640,638,4
4,705,709,706,4
5,726,732,727,6
6,828,831,829,3
7,1113,1116,1114,3
8,1178,1180,1179,2
9,1405,1408,1407,3
10,1481,1486,1484,5
11,1626,1630,1628,4
12,1728,1731,1729,3
13,1878,1880,1879,2
14,1906,1908,1907,2
15,2048,2050,2049,2
16,2103,2106,2104,3
17,2268,2271,2269,3
18,2431,2434,2433,3
19,2512,2519,2515,7
20,2537,2539,2538,2
21,2878,2882,2879,4
22,2893,2896,2894,3
23,2950,2953,2951,3
24,3264,3269,3268,5
25,3398,3409,3399,11
26,3428,3435,3431,7
27,3566,3579,3567,13
28,3651,3658,3652,7
29,3675,3679,3678,4
30,3756,3760,3757,4
31,3838,3842,3841,4
32,3930,3933,3932,3
33,4015,4019,4016,4
34,4106,4110,4109,4
35,4259,4262,4260,3
36,4318,4322,4319,4
37,4486,4488,4487,2
38,4501,4505,4503,4
39,4550,4553,4551,3
40,4586,4590,4587,4
41,4754,4757,4756,3
42,4877,4880,4878,3
43,5019,5022,5020,3
44,5176,5180,5178,4
45,5221,5225,5223,4
46,5424,5427,5425,3
47,5600,5603,5601,3
48,6006,6010,6008,4
49,6113,6136,6114,23
50,6183,6185,6184,2
51,6211,6213,6212,2
52,6258,6261,6259,3
53,6302,6306,6304,4
54,6496,6501,6498,5
55,6617,6620,6618,3
56,6868,6871,6870,3
57,7075,7079,7076,4
58,7129,7132,7130,3
59,7146,7150,7147,4
60,7431,7434,7433,3
61,7556,7559,7557,3
62,7639,7642,7641,3
63,7774,7778,7775,4
64,7960,7963,7961,3
65,8172,8176,8173,4
66,8316,8319,8317,3
67,8410,8412,8411,2
68,8427,8429,8428,2
69,8549,8553,8552,4
70,8691,8695,8693,4
71,8717,8734,8720,17
72,8826,8828,8827,2
73,8859,8863,8860,4
74,8935,8940,8937,5
75,8989,8994,8990,5
76,9063,9067,9065,4
77,9168,9171,9169,3
78,9264,9268,9265,4
79,9352,9355,9353,3
80,9469,9473,9471,4
81,9889,9891,9890,2
82,9926,9928,9927,2
83,10117,10120,10118,3
84,10293,10296,10294,3
85,10406,10408,10407,2
86,10575,10578,10576,3
87,10672,10675,10673,3
88,10767,10771,10769,4
89,10820,10823,10821,3
90,11017,11020,11018,3
91,11110,11113,11111,3
92,11302,11304,11303,2
93,11431,11435,11433,4
94,11515,11519,11517,4
95,11574,11577,11576,3
96,11675,11679,11676,4
97,11747,11751,11749,4
98,11850,11854,11852,4
99,11980,11982,11981,2
100,12079,12082,12080,3
101,12172,12175,12173,3
102,12242,12245,12244,3
103,12335,12338,12336,3
104,12434,12438,12435,4
105,12511,12513,12512,2
106,12876,12880,12879,4
107,12950,12953,12951,3
108,13005,13008,13007,3
109,13097,13099,13098,2
110,13198,13200,13199,2
111,13403,13406,13404,3
112,13437,13439,13438,2
113,13479,13483,13480,4
114,13539,13543,13541,4
115,13618,13620,13619,2
116,13751,13753,13752,2
117,13979,13982,13980,3
118,14067,14071,14068,4
119,14099,14103,14100,4
120,14153,14157,14155,4
121,14228,14231,14230,3
122,14286,14290,14288,4
123,14377,14381,14379,4
124,14483,14487,14486,4
125,14580,14584,14581,4
126,14596,14599,14597,3
127,14688,14692,14690,4
128,14718,14722,14720,4
129,14784,14788,14786,4
130,14824,14829,14827,5
131,14888,14892,14890,4
132,14975,14977,14976,2
133,15034,15039,15038,5
134,15080,15083,15082,3
135,15171,15174,15172,3
136,15251,15254,15252,3
137,15412,15416,15413,4
138,15651,15655,15653,4
139,15776,15781,15778,5
140,15891,15895,15893,4
141,15971,15974,15973,3
142,16064,16068,16066,4
143,16138,16141,16139,3
144,16173,16177,16174,4
145,16223,16230,16224,7
146,16308,16311,16309,3
147,16374,16376,16375,2
148,16427,16430,16429,3
149,16601,16604,16602,3
150,16678,16681,16680,3
151,16695,16699,16696,4
152,16866,16871,16868,5
153,16966,16968,16967,2
154,17036,17040,17038,4
155,17120,17122,17121,2
156,17184,17188,17186,4
157,17260,17264,17262,4
158,17319,17322,17321,3
159,17389,17393,17390,4
160,17491,17495,17494,4
161,17706,17710,17707,4
162,17770,17775,17773,5
163,17840,17843,17841,3
164,17935,17939,17936,4
165,17984,17987,17985,3
166,18191,18193,18192,2
167,18286,18289,18287,3
168,18411,18413,18412,2
169,18497,18502,18500,5
170,18555,18558,18557,3
171,18670,18674,18673,4
172,18724,18727,18725,3
173,18768,18771,18770,3
174,18842,18844,18843,2
175,18906,18911,18909,5
176,18941,18945,18942,4
177,19014,19017,19015,3
178,19089,19092,19090,3
179,19138,19140,19139,2
180,19185,19189,19186,4
181,19250,19254,19251,4
182,19303,19305,19304,2
183,19343,19345,19344,2
184,19483,19486,19484,3
185,19549,19552,19550,3
186,19611,19614,19612,3
187,19697,19701,19698,4
188,19756,19758,19757,2
189,20107,20109,20108,2
190,20208,20211,20209,3
191,20337,20340,20339,3
192,20407,20410,20408,3
193,20482,20485,20484,3
194,20589,20592,20590,3
195,20606,20609,20607,3
196,20695,20700,20697,5
197,20779,20782,20781,3
198,20831,20838,20832,7
199,20850,20853,20851,3
200,20872,20874,20873,2
201,20895,20897,20896,2
202,20937,20940,20938,3
