,Start_blink,End_blink,Blink_frame,No_of_frames
0,21,23,22,2
1,32,36,33,4
2,590,599,592,9
3,631,634,632,3
4,715,722,717,7
5,763,784,764,21
6,795,799,798,4
7,1179,1185,1181,6
8,2481,2484,2482,3
9,2950,2952,2951,2
10,3336,3340,3337,4
11,3482,3488,3483,6
12,3548,3553,3550,5
13,4038,4043,4039,5
14,4426,4431,4429,5
15,4533,4535,4534,2
16,5218,5223,5220,5
17,5851,5853,5852,2
18,6167,6171,6168,4
19,6259,6262,6260,3
20,6890,6893,6891,3
21,7600,7605,7603,5
22,7794,7797,7795,3
23,7819,7822,7820,3
24,8519,8522,8520,3
25,8927,8931,8930,4
26,9245,9247,9246,2
27,9313,9315,9314,2
28,9781,9787,9783,6
29,9977,9979,9978,2
30,10278,10282,10281,4
31,10709,10713,10711,4
32,10926,10932,10928,6
33,11180,11184,11181,4
34,11636,11640,11638,4
35,12002,12005,12003,3
36,12030,12032,12031,2
37,13542,13544,13543,2
38,13588,13590,13589,2
39,13706,13710,13707,4
40,14096,14099,14097,3
41,14376,14380,14378,4
42,14400,14404,14402,4
43,15067,15071,15070,4
44,15839,15841,15840,2
45,16132,16136,16133,4
46,16216,16221,16218,5
47,16359,16361,16360,2
48,16579,16582,16580,3
49,16652,16655,16653,3
50,17388,17390,17389,2
51,17811,17813,17812,2
52,17999,18001,18000,2
53,18286,18290,18287,4
54,19457,19463,19459,6
55,20339,20347,20340,8
56,20905,20907,20906,2
57,21658,21697,21659,39
58,22127,22131,22129,4
59,22803,22805,22804,2
60,23421,23424,23422,3
61,24991,24993,24992,2
62,25312,25314,25313,2
63,25470,25472,25471,2
64,25537,25539,25538,2
65,25652,25657,25653,5
66,25992,25996,25993,4
67,26021,26024,26023,3
68,26526,26532,26527,6
69,26546,26552,26550,6
70,27111,27115,27112,4
71,27585,27590,27586,5
72,28993,29001,28995,8
73,29091,29095,29092,4
74,29182,29187,29184,5
75,30535,30539,30538,4
76,30559,30563,30560,4
77,30638,30641,30639,3
78,30677,30679,30678,2
79,30793,30797,30794,4
80,30886,30903,30887,17
81,30950,30955,30951,5
82,31525,31528,31527,3
83,31738,31742,31740,4
84,32075,32078,32076,3
85,32167,32174,32168,7
86,32180,32184,32181,4
87,32240,32243,32242,3
88,32324,32328,32325,4
89,32348,32352,32350,4
90,32438,32443,32440,5
91,32691,32694,32692,3
92,33253,33258,33254,5
93,34153,34156,34154,3
94,34580,34585,34581,5
95,34617,34621,34618,4
96,35291,35298,35292,7
97,35322,35328,35323,6
98,35597,35600,35598,3
99,35991,35995,35993,4
100,36712,36715,36713,3
101,36885,36888,36886,3
102,36924,36927,36925,3
103,37656,37665,37659,9
104,38418,38421,38419,3
105,38485,38491,38487,6
106,38511,38515,38512,4
107,38533,38538,38534,5
108,38544,38548,38545,4
109,38610,38614,38613,4
110,38690,38696,38691,6
111,38782,38792,38783,10
112,39111,39115,39112,4
113,39555,39569,39558,14
114,39776,39780,39777,4
115,39984,39987,39985,3
116,40365,40368,40366,3
117,40590,40594,40593,4
118,40894,40896,40895,2
119,41510,41514,41513,4
120,42046,42049,42047,3
121,42650,42653,42651,3
122,42971,42973,42972,2
123,43501,43507,43503,6
124,43541,43548,43542,7
125,44144,44147,44146,3
126,44676,44680,44678,4
127,44693,44697,44694,4
128,44837,44851,44838,14
129,44973,44978,44976,5
130,45217,45221,45218,4
131,46171,46173,46172,2
132,47000,47004,47001,4
133,47778,47780,47779,2
134,48590,48594,48592,4
135,48919,48921,48920,2
136,50288,50293,50289,5
137,50451,50456,50452,5
138,52225,52230,52228,5
139,52922,52927,52923,5
140,52950,52955,52953,5
141,53701,53710,53702,9
142,54977,54979,54978,2
143,55448,55454,55450,6
144,56324,56329,56325,5
145,56971,56978,56972,7
146,57789,57794,57790,5
147,57819,57821,57820,2
148,57936,57940,57937,4
149,58321,58323,58322,2
150,58406,58411,58408,5
151,58461,58464,58462,3
