,Start_blink,End_blink,Blink_frame,No_of_frames
0,32,65,32,33
1,90,91,90,1
2,156,157,156,1
3,204,207,204,3
4,352,357,352,5
5,482,482,482,0
6,530,530,530,0
7,625,626,625,1
8,662,662,662,0
9,701,701,701,0
10,1071,1072,1071,1
11,1172,1175,1172,3
12,1298,1322,1298,24
13,1338,1339,1338,1
14,1357,1358,1357,1
15,1375,1375,1375,0
16,1546,1547,1546,1
17,2043,2043,2043,0
18,2253,2253,2253,0
19,2433,2433,2433,0
20,2621,2621,2621,0
21,2646,2646,2646,0
22,2934,2935,2934,1
23,3069,3069,3069,0
24,3100,3101,3100,1
25,3870,3873,3872,3
26,3932,3932,3932,0
27,4002,4003,4002,1
28,4124,4129,4124,5
29,4535,4535,4535,0
30,4635,4635,4635,0
31,5045,5049,5045,4
32,5184,5192,5184,8
33,5254,5255,5254,1
34,5292,5292,5292,0
35,5332,5352,5332,20
36,5408,5463,5408,55
37,5484,5484,5484,0
38,5584,5584,5584,0
39,5609,5612,5609,3
40,5751,5751,5751,0
41,5764,5768,5767,4
42,6491,6505,6491,14
43,6572,6573,6572,1
44,6636,6637,6636,1
45,6714,6721,6714,7
46,6776,6776,6776,0
47,6792,6792,6792,0
48,6898,6898,6898,0
49,7187,7188,7187,1
50,7250,7262,7250,12
51,7263,7264,7263,1
52,7805,7805,7805,0
53,8005,8006,8005,1
54,8034,8034,8034,0
55,8232,8232,8232,0
56,8316,8316,8316,0
57,8371,8380,8371,9
58,8549,8549,8549,0
59,8599,8599,8599,0
60,8613,8613,8613,0
61,8662,8662,8662,0
62,8680,8681,8680,1
63,8731,8731,8731,0
64,8780,8781,8780,1
65,8884,8884,8884,0
66,8949,8949,8949,0
67,9050,9056,9050,6
68,9200,9203,9200,3
69,9272,9274,9272,2
70,9358,9358,9358,0
71,9376,9376,9376,0
72,9564,9564,9564,0
73,9665,9670,9665,5
74,9748,9748,9748,0
75,9772,9772,9772,0
76,10019,10019,10019,0
77,10039,10039,10039,0
78,10282,10285,10282,3
79,10321,10321,10321,0
80,10383,10383,10383,0
81,10506,10508,10506,2
82,10521,10521,10521,0
83,10681,10681,10681,0
84,10746,10747,10746,1
85,10878,10879,10878,1
86,10995,10996,10995,1
87,11118,11118,11118,0
88,11241,11245,11241,4
89,11412,11412,11412,0
90,11444,11444,11444,0
91,11469,11469,11469,0
92,11626,11633,11626,7
93,11793,11793,11793,0
94,11966,11970,11966,4
95,12088,12088,12088,0
96,12282,12282,12282,0
97,12338,12339,12338,1
98,12387,12387,12387,0
99,12476,12476,12476,0
100,12573,12573,12573,0
101,12595,12597,12595,2
102,12654,12654,12654,0
103,12703,12704,12703,1
104,12751,12751,12751,0
105,12802,12806,12802,4
106,12815,12816,12815,1
107,12867,12868,12867,1
108,12909,12911,12909,2
109,12950,12953,12950,3
110,13054,13056,13054,2
111,13099,13102,13099,3
112,13144,13144,13144,0
113,13177,13177,13177,0
114,13280,13280,13280,0
115,13348,13348,13348,0
116,13414,13415,13414,1
117,13479,13480,13479,1
118,13577,13578,13577,1
119,13594,13595,13594,1
120,13669,13674,13669,5
121,13713,13717,13713,4
122,13758,13759,13758,1
123,13790,13795,13790,5
124,13815,13823,13817,8
125,13868,13873,13868,5
126,13917,13918,13917,1
127,13964,13965,13964,1
128,14026,14027,14026,1
129,14049,14050,14049,1
130,14099,14102,14099,3
131,14123,14124,14123,1
132,14156,14157,14156,1
133,14200,14200,14200,0
134,14267,14267,14267,0
135,14342,14342,14342,0
136,14430,14433,14430,3
137,14495,14495,14495,0
138,14550,14550,14550,0
139,14625,14627,14625,2
140,14693,14701,14693,8
141,14702,14703,14702,1
142,14822,14823,14822,1
143,14868,14869,14868,1
144,14927,14929,14927,2
145,14973,14974,14973,1
146,14988,14988,14988,0
147,15078,15078,15078,0
148,15115,15115,15115,0
149,15163,15163,15163,0
150,15204,15204,15204,0
151,15245,15245,15245,0
152,15286,15286,15286,0
153,15325,15327,15325,2
154,15374,15374,15374,0
155,15410,15410,15410,0
156,15432,15435,15432,3
157,15499,15499,15499,0
158,15563,15563,15563,0
159,15646,15647,15646,1
160,15772,15773,15772,1
161,15874,15874,15874,0
162,15953,15953,15953,0
163,15997,15999,15997,2
164,16071,16072,16071,1
165,16109,16111,16109,2
166,16170,16171,16170,1
167,16208,16209,16208,1
168,16294,16299,16294,5
169,16306,16308,16306,2
170,16334,16338,16334,4
171,16356,16357,16356,1
172,16374,16375,16374,1
173,16422,16423,16422,1
174,16462,16462,16462,0
175,16475,16475,16475,0
176,16590,16590,16590,0
177,16614,16614,16614,0
178,16716,16718,16716,2
179,16785,16785,16785,0
180,16832,16832,16832,0
181,17047,17052,17047,5
182,17072,17072,17072,0
183,17142,17146,17142,4
184,17239,17239,17239,0
185,17395,17396,17395,1
186,17486,17488,17486,2
187,17496,17499,17496,3
188,17685,17687,17685,2
189,17726,17727,17726,1
190,17895,17905,17895,10
