,Start_blink,End_blink,Blink_frame,No_of_frames
0,7,8,7,1
1,79,84,81,5
2,114,115,114,1
3,223,230,226,7
4,267,275,267,8
5,584,586,584,2
6,604,609,604,5
7,1120,1125,1120,5
8,1158,1180,1158,22
9,1435,1442,1435,7
10,1823,1827,1823,4
11,1969,1985,1969,16
12,2453,2457,2455,4
13,2608,2609,2608,1
14,2782,2783,2782,1
15,3148,3148,3148,0
16,3662,3663,3662,1
17,3873,3885,3873,12
18,4842,4845,4842,3
19,4954,4964,4954,10
20,4983,4984,4983,1
21,5045,5065,5045,20
22,5109,5119,5109,10
23,5206,5206,5206,0
24,5269,5269,5269,0
25,5389,5390,5389,1
26,5431,5431,5431,0
27,5462,5468,5465,6
28,5703,5711,5705,8
29,5739,5754,5741,15
30,5786,5790,5786,4
31,5819,5832,5819,13
32,5913,5917,5913,4
33,6035,6037,6035,2
34,6074,6087,6074,13
35,6088,6091,6088,3
36,6116,6121,6118,5
37,6199,6200,6199,1
38,6255,6257,6255,2
39,6375,6382,6378,7
40,6634,6640,6634,6
41,6665,6666,6665,1
42,6699,6704,6699,5
43,6735,6746,6737,11
44,6805,6809,6805,4
45,6886,6892,6886,6
46,6958,6961,6958,3
47,7070,7071,7070,1
48,7226,7226,7226,0
49,7253,7254,7253,1
50,7270,7276,7273,6
51,8060,8061,8060,1
52,8121,8134,8124,13
53,8223,8229,8223,6
54,8268,8274,8268,6
55,8285,8288,8285,3
56,8331,8332,8331,1
57,8379,8380,8379,1
58,8405,8407,8406,2
59,8531,8534,8531,3
60,9007,9014,9008,7
61,9043,9044,9043,1
62,9213,9229,9213,16
63,9253,9282,9253,29
64,9787,9791,9787,4
65,9872,9878,9872,6
66,10380,10380,10380,0
67,10493,10494,10493,1
68,10772,10774,10773,2
69,11001,11004,11001,3
70,11064,11085,11064,21
71,11100,11118,11100,18
72,12326,12334,12329,8
73,12778,12779,12778,1
74,12906,12915,12906,9
75,13417,13418,13417,1
76,13478,13506,13478,28
77,13653,13654,13653,1
78,14218,14222,14220,4
79,14550,14552,14550,2
80,14628,14632,14630,4
81,15399,15401,15399,2
82,15494,15495,15494,1
83,16359,16361,16360,2
84,16686,16702,16686,16
85,16802,16812,16802,10
86,16891,16891,16891,0
87,16934,16936,16934,2
88,16991,16991,16991,0
89,17315,17331,17315,16
90,17432,17432,17432,0
91,17917,17921,17917,4
92,18011,18012,18011,1
93,18380,18382,18380,2
94,18424,18428,18426,4
95,18619,18621,18619,2
96,19018,19019,19018,1
97,19053,19058,19055,5
98,19089,19090,19089,1
99,19124,19126,19124,2
100,19182,19182,19182,0
101,19207,19213,19209,6
102,19234,19234,19234,0
103,19298,19299,19298,1
104,19506,19507,19506,1
105,19580,19585,19580,5
106,19700,19717,19700,17
107,19908,19912,19911,4
108,19925,19927,19926,2
109,20777,20778,20777,1
110,21969,21970,21969,1
111,21983,21984,21983,1
112,21997,21997,21997,0
113,22017,22021,22018,4
114,22039,22040,22039,1
115,22148,22149,22148,1
116,22310,22311,22310,1
117,22601,22604,22601,3
118,22676,22677,22676,1
119,22849,22853,22849,4
120,23079,23084,23081,5
121,23234,23235,23234,1
122,23470,23471,23470,1
123,24510,24514,24510,4
124,24601,24603,24601,2
125,24677,24681,24678,4
126,24698,24700,24698,2
127,24728,24749,24728,21
128,24819,24820,24819,1
129,24848,24849,24848,1
130,25261,25265,25263,4
131,25338,25343,25340,5
132,25447,25452,25449,5
133,25593,25593,25593,0
134,26140,26141,26140,1
135,26379,26407,26379,28
136,26628,26630,26628,2
137,26755,26766,26755,11
138,26836,26852,26836,16
139,26902,26903,26902,1
140,27049,27052,27049,3
141,27123,27137,27123,14
142,27181,27185,27183,4
143,27211,27211,27211,0
144,27488,27489,27488,1
145,27573,27575,27574,2
146,27731,27735,27731,4
147,27754,27758,27756,4
148,27790,27790,27790,0
149,27983,27984,27983,1
150,28886,28888,28886,2
151,28985,28986,28985,1
152,29051,29054,29051,3
153,29172,29177,29172,5
154,29203,29204,29203,1
155,29244,29245,29244,1
156,29449,29450,29449,1
157,29590,29591,29590,1
158,29629,29629,29629,0
159,29952,29952,29952,0
160,30188,30190,30188,2
161,30263,30264,30263,1
162,30296,30300,30298,4
163,30322,30324,30322,2
164,30345,30418,30345,73
165,30952,30953,30952,1
166,31226,31226,31226,0
167,31335,31381,31335,46
168,31393,31395,31393,2
169,31488,31491,31488,3
170,31509,31515,31510,6
171,31641,31663,31641,22
172,31726,31734,31726,8
173,31803,31832,31804,29
174,31910,31910,31910,0
175,31925,31933,31925,8
176,32085,32085,32085,0
177,32317,32320,32317,3
178,32878,32881,32878,3
179,33098,33100,33098,2
180,33150,33151,33150,1
181,33179,33180,33179,1
182,33250,33254,33250,4
183,33288,33295,33288,7
184,33323,33324,33323,1
185,33667,33673,33667,6
186,34229,34234,34232,5
187,34703,34704,34703,1
188,34732,34999,34732,267
189,35000,35001,35000,1
190,35070,35075,35071,5
191,35125,35141,35125,16
192,35181,35181,35181,0
193,35327,35328,35327,1
194,35377,35377,35377,0
195,35388,35389,35388,1
196,36204,36207,36205,3
197,36245,36246,36245,1
198,36323,36348,36323,25
199,36455,36518,36455,63
200,36519,36520,36519,1
201,36960,36965,36960,5
202,37029,37029,37029,0
203,37680,37680,37680,0
204,37698,37700,37698,2
205,37713,37714,37713,1
206,37759,37760,37759,1
207,37882,37898,37882,16
208,37899,37901,37899,2
209,37947,37947,37947,0
210,38154,38154,38154,0
211,38219,38219,38219,0
212,38496,38496,38496,0
213,38551,38557,38551,6
214,38604,38615,38606,11
215,38634,38635,38634,1
216,39083,39084,39083,1
217,39148,39149,39148,1
218,39463,39527,39463,64
219,39528,39551,39528,23
220,39622,39651,39624,29
221,39706,39708,39706,2
222,39744,39763,39744,19
223,39832,39833,39832,1
224,39861,39861,39861,0
225,39968,39973,39968,5
226,40006,40006,40006,0
227,40065,40068,40065,3
228,40098,40099,40098,1
229,40182,40183,40182,1
230,40227,40227,40227,0
231,40257,40265,40257,8
232,40676,40732,40676,56
233,40733,40735,40733,2
234,41211,41212,41211,1
235,41233,41233,41233,0
236,41413,41416,41413,3
237,41423,41427,41423,4
238,41679,41681,41679,2
239,41930,41934,41933,4
240,41954,41954,41954,0
241,42011,42013,42011,2
242,42030,42030,42030,0
243,42218,42218,42218,0
244,42898,42899,42898,1
245,42917,42935,42917,18
246,42954,42954,42954,0
247,43064,43074,43067,10
248,43898,43899,43898,1
249,44234,44235,44234,1
250,44263,44263,44263,0
251,44281,44282,44281,1
252,44319,44319,44319,0
253,44396,44397,44396,1
254,44894,44897,44896,3
255,44944,44945,44944,1
256,45457,45458,45457,1
257,45623,45626,45625,3
258,45720,45725,45723,5
259,45886,45888,45886,2
260,45950,45952,45950,2
261,46467,46468,46467,1
262,46844,46852,46847,8
263,47438,47439,47438,1
264,48336,48338,48336,2
265,48699,48699,48699,0
266,49860,49861,49860,1
267,49875,49893,49875,18
268,51942,51943,51942,1
269,51964,51965,51964,1
270,52000,52148,52000,148
271,52182,52187,52183,5
272,52655,52656,52655,1
273,52674,52677,52674,3
274,52906,52907,52906,1
275,52977,52980,52977,3
276,53630,53631,53630,1
277,53981,53982,53981,1
278,54097,54101,54097,4
279,54950,54953,54950,3
280,55366,55370,55368,4
281,55429,55433,55431,4
282,55905,55913,55905,8
283,56645,56675,56645,30
284,56806,56823,56806,17
285,57898,57905,57900,7
286,57930,57937,57932,7
287,58051,58052,58051,1
288,58500,58503,58500,3
289,59022,59026,59022,4
290,59420,59423,59420,3
291,59877,59880,59877,3
292,59892,59893,59892,1
293,60003,60003,60003,0
294,60014,60015,60014,1
295,60061,60063,60061,2
296,60094,60094,60094,0
297,61203,61204,61203,1
298,61396,61398,61396,2
299,61460,61470,61462,10
300,61533,61536,61533,3
301,61999,62002,62001,3
302,62025,62026,62025,1
303,62636,62637,62636,1
304,62738,62742,62738,4
305,63132,63136,63133,4
306,63625,63626,63625,1
307,63643,63643,63643,0
308,63973,63978,63975,5
309,64193,64195,64193,2
310,64356,64357,64356,1
311,64511,64515,64513,4
312,64708,64713,64708,5
313,64802,64804,64802,2
314,64955,64956,64955,1
315,65454,65456,65454,2
316,65735,65736,65735,1
317,66008,66012,66010,4
318,66092,66154,66092,62
319,66176,66179,66176,3
320,66333,66335,66333,2
321,66358,66362,66360,4
322,66400,66400,66400,0
323,66437,66438,66437,1
324,66462,66482,66464,20
325,66680,66684,66682,4
326,66768,66772,66768,4
327,66914,66915,66914,1
328,67469,67471,67469,2
329,67501,67515,67503,14
330,67914,67916,67915,2
331,67939,67964,67939,25
332,68033,68034,68033,1
333,68141,68142,68141,1
334,68814,68814,68814,0
335,68875,68876,68875,1
336,69270,69271,69270,1
337,69327,69328,69327,1
338,70333,70334,70333,1
339,71067,71074,71067,7
340,71934,71936,71934,2
341,72071,72074,72071,3
342,72250,72251,72250,1
343,72310,72313,72310,3
344,72401,72405,72403,4
345,72483,72486,72483,3
346,72612,72645,72612,33
347,73054,73055,73054,1
348,73083,73083,73083,0
349,73376,73378,73376,2
350,73575,73577,73575,2
351,73632,73637,73634,5
352,73745,73747,73745,2
353,74036,74037,74036,1
354,75207,75210,75208,3
355,75727,75728,75727,1
356,75744,75745,75744,1
357,75994,75998,75994,4
358,76072,76076,76074,4
359,76110,76113,76110,3
360,76572,76573,76572,1
361,76704,76707,76704,3
362,77382,77385,77382,3
363,77410,77413,77410,3
364,77617,77618,77617,1
365,78213,78214,78213,1
366,78397,78401,78397,4
367,78597,78598,78597,1
368,79184,79185,79184,1
369,79554,79557,79555,3
370,79700,79707,79702,7
371,80063,80065,80063,2
372,80442,80444,80442,2
373,80840,80840,80840,0
374,80997,80999,80997,2
375,81456,81457,81456,1
376,81746,81747,81746,1
377,82119,82123,82121,4
378,82469,82470,82469,1
379,83640,83642,83640,2
380,83755,83758,83755,3
381,83846,83847,83846,1
382,83864,83864,83864,0
383,84201,84202,84201,1
384,84553,84555,84553,2
385,84844,84847,84844,3
386,85519,85521,85520,2
387,85865,85865,85865,0
388,86777,86786,86779,9
389,87165,87166,87165,1
390,87188,87188,87188,0
391,87441,87442,87441,1
392,88538,88541,88540,3
393,88667,88670,88667,3
394,88685,88687,88685,2
395,88889,88891,88890,2
