FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.15727996963658425,0.1861227222914376,0.17170134596401093,0.028842752654853338,0.17170134596401093
2,0.1549399493819177,0.19421425082148314,0.1745771001017004,0.03927430143956542,0.1745771001017004
3,0.14806521229119254,0.17089826505004352,0.15948173867061805,0.022833052758850975,0.15948173867061805
4,0.153316171875551,0.19913658353612748,0.17622637770583924,0.04582041166057649,0.17622637770583924
5,0.14349555684547544,0.20496150348166295,0.1742285301635692,0.06146594663618751,0.1742285301635692
6,0.14547880310973502,0.19779179228856716,0.1716352976991511,0.05231298917883215,0.1716352976991511
7,0.0784992124032587,0.1850719472762761,0.1317855798397674,0.1065727348730174,0.1317855798397674
8,0.08952246688578161,0.1844383505597497,0.13698040872276565,0.09491588367396808,0.13698040872276565
9,0.11420066257956248,0.2016984287496117,0.15794954566458708,0.08749776617004922,0.15794954566458708
10,0.10446675689840777,0.16098958095735127,0.13272816892787953,0.0565228240589435,0.13272816892787953
11,0.07420120722240545,0.16634151285680226,0.12027136003960386,0.09214030563439682,0.12027136003960386
12,0.10939444072543425,0.15182707650315933,0.13061075861429677,0.042432635777725075,0.13061075861429677
13,0.10375800476653682,0.17735687701477545,0.14055744089065614,0.07359887224823863,0.14055744089065614
14,0.10088055842475417,0.17995190730801586,0.14041623286638502,0.07907134888326169,0.14041623286638502
15,0.11338828094327122,0.18106089529733865,0.14722458812030492,0.06767261435406743,0.14722458812030492
16,0.07381666949562242,0.18786160040997107,0.13083913495279675,0.11404493091434866,0.13083913495279675
17,0.07664675990118243,0.19618583456695116,0.13641629723406679,0.11953907466576873,0.13641629723406679
18,0.07715307217857383,0.18336625797473524,0.13025966507665454,0.10621318579616142,0.13025966507665454
19,0.07022925268080055,0.19783905983949526,0.13403415626014792,0.12760980715869472,0.13403415626014792
20,0.11165783964412385,0.2080534745845241,0.15985565711432398,0.09639563494040027,0.15985565711432398
21,0.13344209970210696,0.19120252307545688,0.16232231138878192,0.05776042337334991,0.16232231138878192
22,0.13985057816345203,0.17367575949967862,0.15676316883156532,0.033825181336226584,0.15676316883156532
23,0.13979809541887697,0.18675443281427817,0.16327626411657759,0.0469563373954012,0.16327626411657759
24,0.1383932719747303,0.20050401904704665,0.16944864551088848,0.06211074707231634,0.16944864551088848
25,0.15821485427398643,0.1894167716281698,0.17381581295107812,0.031201917354183373,0.17381581295107812
26,0.16145328180976684,0.19545259501292567,0.17845293841134624,0.033999313203158826,0.17845293841134624
27,0.15490221460537024,0.20622030396472407,0.18056125928504715,0.051318089359353836,0.18056125928504715
28,0.16295326443907784,0.2026950358828386,0.1828241501609582,0.03974177144376076,0.1828241501609582
29,0.16231295293473685,0.22354253430342497,0.1929277436190809,0.06122958136868811,0.1929277436190809
30,0.1568189200491348,0.22038068434036207,0.18859980219474842,0.06356176429122726,0.18859980219474842
31,0.15936186356475732,0.20784715033130036,0.18360450694802882,0.04848528676654304,0.18360450694802882
32,0.1517150719539924,0.2283221623264949,0.19001861714024365,0.07660709037250252,0.19001861714024365
33,0.15333363274543252,0.21056581302625518,0.18194972288584385,0.057232180280822664,0.18194972288584385
34,0.14989505350319238,0.20448116800333999,0.17718811075326618,0.05458611450014761,0.17718811075326618
35,0.15486007761280765,0.20536959659183698,0.18011483710232232,0.05050951897902933,0.18011483710232232
36,0.14526356438701263,0.22139272584610373,0.18332814511655818,0.0761291614590911,0.18332814511655818
37,0.14020884739489967,0.20929447197223877,0.1747516596835692,0.0690856245773391,0.1747516596835692
38,0.15514033337241057,0.2023145348983604,0.1787274341353855,0.04717420152594984,0.1787274341353855
39,0.14454876856583113,0.19288259510793565,0.1687156818368834,0.048333826542104524,0.1687156818368834
40,0.1452392140749813,0.21180407063404103,0.17852164235451118,0.06656485655905972,0.17852164235451118
41,0.15298556471072344,0.21031414965181205,0.18164985718126775,0.05732858494108861,0.18164985718126775
42,0.14910403827188864,0.2088519355468936,0.17897798690939112,0.05974789727500496,0.17897798690939112
43,0.14393749998993285,0.21185951300717348,0.17789850649855316,0.06792201301724063,0.17789850649855316
44,0.16354049017963126,0.2028213996997834,0.18318094493970732,0.039280909520152146,0.18318094493970732
45,0.15335504577864492,0.20124750139657982,0.17730127358761238,0.0478924556179349,0.17730127358761238
46,0.15611062122167585,0.19432286311805555,0.1752167421698657,0.0382122418963797,0.1752167421698657
47,0.1722187274999511,0.19462336343461048,0.18342104546728077,0.022404635934659384,0.18342104546728077
48,0.16402135590723263,0.2101841149023901,0.18710273540481137,0.04616275899515748,0.18710273540481137
49,0.14815901709544693,0.2124765397447518,0.18031777842009938,0.06431752264930488,0.18031777842009938
50,0.12131522840056903,0.2009955736560538,0.1611554010283114,0.07968034525548477,0.1611554010283114
51,0.12204949205928595,0.19226560062015763,0.1571575463397218,0.07021610856087168,0.1571575463397218
52,0.15527063033659103,0.1976657101898935,0.17646817026324227,0.042395079853302486,0.17646817026324227
53,0.12396849592761586,0.17903063813087708,0.15149956702924647,0.05506214220326122,0.15149956702924647
54,0.1397057861106105,0.16743941719005073,0.1535726016503306,0.02773363107944024,0.1535726016503306
55,0.1522416271250746,0.2012744609843678,0.1767580440547212,0.04903283385929319,0.1767580440547212
56,0.12226163058858507,0.1570153710445565,0.13963850081657078,0.034753740455971446,0.13963850081657078
57,0.1419281023477371,0.1896730053611007,0.1658005538544189,0.04774490301336362,0.1658005538544189
58,0.12297499983554605,0.18115850247097737,0.1520667511532617,0.05818350263543132,0.1520667511532617
59,0.11835653574691046,0.17840067995774614,0.14837860785232831,0.060044144210835676,0.14837860785232831
60,0.15737649969526313,0.1812269201992077,0.16930170994723542,0.023850420503944564,0.16930170994723542
61,0.12439012434594732,0.17445202939662302,0.14942107687128517,0.050061905050675704,0.14942107687128517
62,0.13978920058724464,0.16558902849986656,0.1526891145435556,0.02579982791262192,0.1526891145435556
63,0.1340399257913222,0.1378845660605773,0.13596224592594974,0.0038446402692551007,0.13596224592594974
64,0.14465670414292411,0.16094959500073755,0.15280314957183083,0.016292890857813436,0.15280314957183083
65,0.11497349952703574,0.14834186760073909,0.1316576835638874,0.033368368073703344,0.1316576835638874
66,0.11608483841026987,0.1981866636274714,0.15713575101887062,0.08210182521720152,0.15713575101887062
67,0.1428587781288939,0.17152283279701183,0.15719080546295286,0.028664054668117944,0.15719080546295286
68,0.12650748227872002,0.19147639993071766,0.15899194110471884,0.06496891765199764,0.15899194110471884
69,0.1307409063150583,0.1735480642465102,0.15214448528078425,0.0428071579314519,0.15214448528078425
70,0.11872951399809177,0.16773175827220863,0.1432306361351502,0.049002244274116855,0.1432306361351502
71,0.11250758209119766,0.190669023511391,0.15158830280129432,0.07816144142019335,0.15158830280129432
72,0.132423437010825,0.18646323982176446,0.15944333841629474,0.05403980281093945,0.15944333841629474
73,0.14932956939955896,0.18786317150730117,0.16859637045343007,0.038533602107742204,0.16859637045343007
