FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.1391011779627192,0.15377416355761797,0.1464376707601686,0.014672985594898769,0.1464376707601686
2,0.14420375113526393,0.1471018178427486,0.14565278448900626,0.002898066707484659,0.14565278448900626
3,0.15370402011759765,0.13766417753612767,0.14568409882686267,0.016039842581469982,0.14568409882686267
4,0.13310150306735913,0.1530350167834168,0.14306825992538796,0.01993351371605767,0.14306825992538796
5,0.14307082581853156,0.14090429705170332,0.14198756143511743,0.0021665287668282407,0.14198756143511743
6,0.13646676680437964,0.15285449043213306,0.14466062861825635,0.016387723627753426,0.14466062861825635
7,0.14390263812007367,0.15436926867176937,0.1491359533959215,0.010466630551695694,0.1491359533959215
8,0.13531704949950343,0.15648126631956671,0.14589915790953506,0.02116421682006328,0.14589915790953506
9,0.12747596256374719,0.14971662470875627,0.13859629363625173,0.022240662145009082,0.13859629363625173
10,0.1334861552035799,0.1475008169143796,0.14049348605897977,0.014014661710799708,0.14049348605897977
11,0.03893856292044315,0.10757325517619035,0.07325590904831675,0.0686346922557472,0.07325590904831675
12,0.045150547087215,0.11059646770508051,0.07787350739614776,0.06544592061786551,0.07787350739614776
13,0.030711233578923226,0.10756012336910355,0.06913567847401339,0.07684888979018031,0.06913567847401339
14,0.06598118495226533,0.11437623434888254,0.09017870965057394,0.04839504939661721,0.09017870965057394
15,0.08001742949147114,0.1083471140945129,0.09418227179299202,0.028329684603041763,0.09418227179299202
16,0.10714699107673661,0.1155504876992593,0.11134873938799796,0.008403496622522683,0.11134873938799796
17,0.10049601092851254,0.11469954490678715,0.10759777791764985,0.014203533978274605,0.10759777791764985
18,0.09358757792369332,0.11364019906994119,0.10361388849681726,0.020052621146247868,0.10361388849681726
19,0.1120812178779525,0.12178060040119533,0.11693090913957391,0.00969938252324283,0.11693090913957391
20,0.10882456124318786,0.11425046509161574,0.11153751316740179,0.005425903848427879,0.11153751316740179
21,0.11377474692250121,0.11430046748877139,0.1140376072056363,0.0005257205662701769,0.1140376072056363
22,0.1251348672818739,0.12935624458606543,0.12724555593396966,0.0042213773041915315,0.12724555593396966
