,Start_blink,End_blink,Blink_frame,No_of_frames
0,29,32,30,3
1,87,91,88,4
2,150,157,153,7
3,201,204,202,3
4,349,352,350,3
5,564,565,564,1
6,622,625,624,3
7,775,776,775,1
8,818,821,819,3
9,927,930,928,3
10,1068,1071,1069,3
11,1169,1172,1170,3
12,1291,1322,1295,31
13,1334,1339,1336,5
14,1355,1358,1356,3
15,1370,1373,1371,3
16,1544,1547,1545,3
17,2429,2433,2430,4
18,2573,2574,2573,1
19,2643,2646,2645,3
20,2863,2865,2864,2
21,2927,2935,2930,8
22,3066,3068,3066,2
23,3868,3873,3869,5
24,3999,4003,4001,4
25,4121,4124,4122,3
26,5041,5046,5042,5
27,5177,5191,5179,14
28,5250,5255,5253,5
29,5288,5291,5289,3
30,5297,5299,5298,2
31,5325,5351,5326,26
32,5403,5462,5405,59
33,5481,5484,5482,3
34,5606,5609,5607,3
35,5746,5748,5747,2
36,5762,5768,5766,6
37,5890,5891,5890,1
38,5954,5956,5955,2
39,6485,6505,6488,20
40,6568,6573,6569,5
41,6633,6635,6634,2
42,6710,6713,6711,3
43,7186,7188,7187,2
44,7247,7249,7248,2
45,7258,7264,7259,6
46,8003,8006,8004,3
47,8370,8380,8371,10
48,8610,8613,8612,3
49,8677,8680,8679,3
50,8725,8726,8725,1
51,8777,8780,8778,3
52,9046,9050,9047,4
53,9183,9185,9183,2
54,9195,9203,9197,8
55,9270,9272,9270,2
56,9373,9375,9374,2
57,9561,9565,9562,4
58,9662,9664,9663,2
59,9746,9749,9747,3
60,9926,9929,9927,3
61,10019,10020,10019,1
62,10037,10039,10037,2
63,10279,10282,10280,3
64,10319,10322,10320,3
65,10382,10384,10382,2
66,10504,10506,10504,2
67,10518,10521,10519,3
68,10679,10681,10680,2
69,10739,10747,10742,8
70,10871,10879,10872,8
71,10976,10978,10976,2
72,10991,10995,10994,4
73,11117,11118,11117,1
74,11238,11241,11239,3
75,11409,11412,11410,3
76,11568,11570,11569,2
77,11624,11626,11624,2
78,11791,11794,11792,3
79,11959,11969,11963,10
80,12087,12088,12087,1
81,12100,12102,12100,2
82,12282,12283,12282,1
83,12336,12339,12337,3
84,12386,12388,12386,2
85,12572,12574,12572,2
86,12592,12595,12593,3
87,12652,12654,12653,2
88,12691,12695,12691,4
89,12699,12703,12701,4
90,12748,12751,12749,3
91,12798,12801,12799,3
92,12812,12816,12813,4
93,12863,12866,12864,3
94,12906,12909,12907,3
95,12947,12950,12949,3
96,13034,13036,13035,2
97,13051,13053,13052,2
98,13097,13099,13098,2
99,13142,13144,13143,2
100,13175,13177,13176,2
101,13278,13280,13279,2
102,13344,13348,13347,4
103,13411,13415,13412,4
104,13477,13480,13478,3
105,13575,13578,13576,3
106,13587,13595,13590,8
107,13664,13674,13665,10
108,13703,13717,13707,14
109,13754,13759,13756,5
110,13788,13795,13789,7
111,13812,13823,13813,11
112,13863,13873,13865,10
113,13911,13918,13913,7
114,13940,13943,13941,3
115,13959,13965,13962,6
116,14023,14027,14024,4
117,14044,14047,14045,3
118,14095,14098,14096,3
119,14121,14124,14122,3
120,14153,14157,14154,4
121,14198,14201,14199,3
122,14265,14280,14265,15
123,14428,14430,14429,2
124,14546,14550,14547,4
125,14621,14625,14623,4
126,14690,14692,14691,2
127,14699,14703,14702,4
128,14784,14786,14785,2
129,14813,14815,14814,2
130,14844,14846,14845,2
131,14865,14869,14868,4
132,14924,14927,14925,3
133,14970,14972,14971,2
134,14986,14988,14987,2
135,15076,15078,15077,2
136,15114,15116,15114,2
137,15159,15162,15160,3
138,15200,15203,15202,3
139,15284,15286,15285,2
140,15323,15325,15323,2
141,15371,15373,15372,2
142,15406,15409,15407,3
143,15428,15432,15430,4
144,15497,15499,15498,2
145,15559,15563,15561,4
146,15644,15647,15645,3
147,15722,15724,15722,2
148,15769,15773,15772,4
149,15871,15874,15872,3
150,15951,15953,15952,2
151,15993,15997,15994,4
152,16007,16009,16008,2
153,16069,16071,16070,2
154,16105,16109,16107,4
155,16167,16171,16168,4
156,16205,16209,16206,4
157,16215,16220,16216,5
158,16293,16294,16293,1
159,16303,16306,16304,3
160,16330,16333,16332,3
161,16354,16356,16355,2
162,16372,16375,16374,3
163,16420,16422,16420,2
164,16459,16462,16460,3
165,16473,16476,16474,3
166,16588,16589,16588,1
167,16611,16615,16612,4
168,16704,16706,16704,2
169,16713,16715,16714,2
170,16783,16785,16783,2
171,16829,16832,16830,3
172,17044,17046,17045,2
173,17069,17072,17070,3
174,17139,17141,17140,2
175,17236,17239,17237,3
176,17392,17396,17393,4
