,Start_blink,End_blink,Blink_frame,No_of_frames
0,21,23,22,2
1,32,36,33,4
2,590,599,592,9
3,631,634,632,3
4,715,722,717,7
5,763,784,764,21
6,795,799,798,4
7,1179,1185,1181,6
8,1956,1957,1956,1
9,2481,2484,2482,3
10,2950,2952,2951,2
11,3336,3340,3337,4
12,3482,3488,3483,6
13,3548,3553,3550,5
14,4038,4043,4039,5
15,4426,4431,4429,5
16,4533,4535,4534,2
17,5067,5068,5067,1
18,5218,5223,5220,5
19,5532,5538,5532,6
20,5851,5853,5852,2
21,6167,6171,6168,4
22,6259,6262,6260,3
23,6890,6893,6891,3
24,7600,7605,7603,5
25,7794,7797,7795,3
26,7819,7822,7820,3
27,8519,8522,8520,3
28,8927,8931,8930,4
29,9245,9247,9246,2
30,9313,9315,9314,2
31,9781,9787,9783,6
32,9977,9979,9978,2
33,10278,10282,10281,4
34,10709,10713,10711,4
35,10926,10932,10928,6
36,11180,11184,11181,4
37,11636,11640,11638,4
38,12002,12005,12003,3
39,12030,12032,12031,2
40,13542,13544,13543,2
41,13588,13590,13589,2
42,13706,13710,13707,4
43,14096,14099,14097,3
44,14376,14380,14378,4
45,14400,14404,14402,4
46,15067,15071,15070,4
47,15839,15841,15840,2
48,16132,16136,16133,4
49,16216,16221,16218,5
50,16359,16361,16360,2
51,16519,16520,16519,1
52,16579,16582,16580,3
53,16606,16609,16606,3
54,16652,16655,16653,3
55,17388,17390,17389,2
56,17811,17813,17812,2
57,17999,18001,18000,2
58,18286,18290,18287,4
59,19457,19463,19459,6
60,20339,20347,20340,8
61,20905,20907,20906,2
62,21658,21697,21659,39
63,22127,22131,22129,4
64,22803,22805,22804,2
65,23421,23424,23422,3
66,24447,24453,24447,6
67,24991,24993,24992,2
68,25312,25314,25313,2
69,25470,25472,25471,2
70,25537,25539,25538,2
71,25591,25596,25591,5
72,25652,25657,25653,5
73,25992,25996,25993,4
74,26021,26024,26023,3
75,26526,26532,26527,6
76,26546,26552,26550,6
77,27111,27115,27112,4
78,27585,27590,27586,5
79,28993,29001,28995,8
80,29091,29095,29092,4
81,29182,29187,29184,5
82,30535,30539,30538,4
83,30559,30563,30560,4
84,30638,30641,30639,3
85,30677,30679,30678,2
86,30793,30797,30794,4
87,30886,30903,30887,17
88,30950,30955,30951,5
89,31334,31336,31334,2
90,31525,31528,31527,3
91,31738,31742,31740,4
92,32075,32078,32076,3
93,32125,32127,32125,2
94,32167,32174,32168,7
95,32180,32184,32181,4
96,32240,32243,32242,3
97,32324,32328,32325,4
98,32348,32352,32350,4
99,32427,32428,32427,1
100,32438,32443,32440,5
101,32691,32694,32692,3
102,33253,33258,33254,5
103,33986,33999,33986,13
104,34153,34156,34154,3
105,34580,34585,34581,5
106,34617,34621,34618,4
107,35291,35298,35292,7
108,35322,35328,35323,6
109,35597,35600,35598,3
110,35991,35995,35993,4
111,36100,36116,36100,16
112,36712,36715,36713,3
113,36885,36888,36886,3
114,36924,36927,36925,3
115,37656,37665,37659,9
116,37680,37681,37680,1
117,38418,38421,38419,3
118,38485,38491,38487,6
119,38511,38515,38512,4
120,38533,38538,38534,5
121,38544,38548,38545,4
122,38610,38614,38613,4
123,38690,38696,38691,6
124,38782,38792,38783,10
125,39111,39115,39112,4
126,39555,39569,39558,14
127,39776,39780,39777,4
128,39878,39879,39878,1
129,39984,39987,39985,3
130,40365,40368,40366,3
131,40472,40474,40472,2
132,40590,40594,40593,4
133,40713,40714,40713,1
134,40894,40896,40895,2
135,41510,41514,41513,4
136,42046,42049,42047,3
137,42650,42653,42651,3
138,42971,42973,42972,2
139,43501,43507,43503,6
140,43541,43548,43542,7
141,44144,44147,44146,3
142,44676,44680,44678,4
143,44693,44697,44694,4
144,44837,44851,44838,14
145,44973,44978,44976,5
146,45217,45221,45218,4
147,46171,46173,46172,2
148,46189,46191,46189,2
149,47000,47004,47001,4
150,47266,47268,47266,2
151,47345,47359,47345,14
