,Start_blink,End_blink,Blink_frame,No_of_frames
0,5,23,8,18
1,79,85,82,6
2,113,117,115,4
3,224,231,227,7
4,265,282,268,17
5,583,588,585,5
6,602,613,605,11
7,1119,1126,1121,7
8,1156,1244,1159,88
9,1434,1473,1436,39
10,1821,1843,1824,22
11,1967,2023,1970,56
12,2453,2506,2456,53
13,2607,2617,2609,10
14,2781,2852,2783,71
15,3149,3197,3149,48
16,3661,3669,3663,8
17,3874,3892,3874,18
18,4841,4847,4843,6
19,4952,4965,4955,13
20,4982,4989,4984,7
21,5043,5070,5046,27
22,5107,5149,5110,42
23,5207,5261,5207,54
24,5270,5389,5270,119
25,5390,5393,5390,3
26,5432,5465,5432,33
27,5466,5469,5466,3
28,5704,5714,5706,10
29,5739,5756,5742,17
30,5784,5791,5787,7
31,5820,5881,5820,61
32,5913,5926,5914,13
33,6034,6040,6036,6
34,6075,6088,6075,13
35,6089,6094,6089,5
36,6117,6124,6119,7
37,6198,6212,6200,14
38,6253,6259,6256,6
39,6376,6383,6379,7
40,6632,6641,6635,9
41,6664,6669,6666,5
42,6698,6705,6700,7
43,6736,6754,6738,18
44,6804,6810,6806,6
45,6887,6894,6887,7
46,6956,6988,6959,32
47,7069,7108,7071,39
48,7227,7253,7227,26
49,7254,7256,7254,2
50,7271,7278,7274,7
51,8059,8066,8061,7
52,8121,8135,8125,14
53,8222,8232,8224,10
54,8266,8276,8269,10
55,8284,8290,8286,6
56,8329,8354,8332,25
57,8378,8383,8380,5
58,8404,8518,8407,114
59,8530,8538,8532,8
60,9006,9018,9009,12
61,9042,9189,9044,147
62,9211,9230,9214,19
63,9254,9299,9254,45
64,9786,9792,9788,6
65,9870,9881,9873,11
66,10381,10493,10381,112
67,10494,10502,10494,8
68,10772,10778,10774,6
69,11000,11008,11002,8
70,11062,11100,11065,38
71,11101,11133,11101,32
72,12327,12337,12330,10
73,12778,12785,12779,7
74,12907,12920,12907,13
75,13418,13420,13418,2
76,13479,13588,13479,109
77,13653,13672,13654,19
78,14219,14225,14221,6
79,14550,14618,14551,68
80,14628,14634,14631,6
81,15397,15404,15400,7
82,15495,15498,15495,3
83,16358,16367,16361,9
84,16685,16703,16687,18
85,16800,16815,16803,15
86,16892,16934,16892,42
87,16935,16940,16935,5
88,16992,17315,16992,323
89,17316,17333,17316,17
90,17433,17842,17433,409
91,17916,17926,17918,10
92,18010,18028,18012,18
93,18378,18386,18381,8
94,18424,18432,18427,8
95,18617,18625,18620,8
96,19017,19055,19019,38
97,19056,19060,19056,4
98,19089,19124,19090,35
99,19125,19147,19125,22
100,19183,19194,19183,11
101,19207,19214,19210,7
102,19235,19263,19235,28
103,19298,19333,19299,35
104,19504,19565,19507,61
105,19580,19586,19581,6
106,19698,19728,19701,30
107,19909,19915,19912,6
108,19924,19932,19927,8
109,20775,20796,20778,21
110,21968,21972,21970,4
111,21998,22018,21998,20
112,22019,22023,22019,4
113,22040,22042,22040,2
114,22146,22162,22149,16
115,22309,22328,22311,19
116,22601,22606,22602,5
117,22675,22680,22677,5
118,22847,22879,22850,32
119,23079,23085,23082,6
120,23232,23276,23235,44
121,23469,23484,23471,15
122,24508,24520,24511,12
123,24599,24605,24602,6
124,24677,24682,24679,5
125,24696,24714,24699,18
126,24727,24750,24729,23
127,24818,24823,24820,5
128,24847,24851,24849,4
129,25261,25267,25264,6
130,25338,25345,25341,7
131,25447,25455,25450,8
132,25594,25599,25594,5
133,26138,26156,26141,18
134,26378,26411,26380,33
135,26628,26703,26629,75
136,26753,26768,26756,15
137,26834,26854,26837,20
138,26901,26913,26903,12
139,27047,27060,27050,13
140,27121,27162,27124,41
141,27181,27187,27184,6
142,27212,27241,27212,29
143,27488,27574,27489,86
144,27575,27579,27575,4
145,27730,27736,27732,6
146,27754,27759,27757,5
147,27791,27983,27791,192
148,27984,27989,27984,5
149,28885,28892,28887,7
150,28985,29051,28986,66
151,29052,29055,29052,3
152,29171,29178,29173,7
153,29202,29206,29204,4
154,29242,29385,29245,143
155,29449,29476,29450,27
156,29588,29601,29591,13
157,29630,29841,29630,211
158,29953,30188,29953,235
159,30189,30208,30189,19
160,30262,30267,30264,5
161,30296,30302,30299,6
162,30321,30325,30323,4
163,30344,30420,30346,76
164,30951,30964,30953,13
165,31227,31248,31227,21
166,31334,31382,31336,48
167,31391,31397,31394,6
168,31487,31492,31489,5
169,31509,31518,31511,9
170,31640,31665,31642,25
171,31725,31735,31727,10
172,31802,31853,31805,51
173,31911,31925,31911,14
174,31926,31952,31926,26
175,32086,32317,32086,231
176,32318,32323,32318,5
177,32876,32885,32879,9
178,33096,33119,33099,23
179,33149,33157,33151,8
180,33178,33184,33180,6
181,33251,33262,33251,11
182,33289,33318,33289,29
183,33322,33328,33324,6
184,33668,33674,33668,6
185,34230,34235,34233,5
186,34702,34706,34704,4
187,34733,35000,34733,267
188,35001,35010,35001,9
189,35070,35077,35072,7
190,35123,35148,35126,25
191,35182,35327,35182,145
192,35328,35334,35328,6
193,35378,35388,35378,10
194,35389,35425,35389,36
195,36203,36209,36206,6
196,36244,36251,36246,7
197,36322,36349,36324,27
198,36456,36519,36456,63
199,36520,36525,36520,5
200,36958,36972,36961,14
201,37030,37266,37030,236
202,37681,37698,37681,17
203,37699,37706,37699,7
204,37712,37719,37714,7
205,37758,37763,37760,5
206,37883,37899,37883,16
207,37900,37904,37900,4
208,37948,38000,37948,52
209,38155,38157,38155,2
210,38220,38228,38220,8
