,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
0,VIDEO_18112022132601_1668758161824_EAR.csv,42,40,5.57500,0.12389,0.38788,10.7160,0.0481,,,,,0.199107142857143,0.009567843086421
1,VIDEO_18112022132700_1668758220821_EAR.csv,30,51,6.68627,0.18944,0.34069,22.0088,0.0645,,,0.0563,1.0000,0.238795518207283,0.01541229580913
2,VIDEO_18112022132759_1668758279823_EAR.csv,56,15,5.46667,0.04556,0.48731,1.8204,0.0222,,,0.0449,0.0000,0.195238095238095,0.004334183937909
3,VIDEO_18112022132858_1668758338982_EAR.csv,0,30,12.60000,0.21000,0.40913,32.4769,0.0859,0.0552,1.0000,0.0552,1.0000,0.45,0.038662972536429
4,VIDEO_18112022132957_1668758397827_EAR.csv,0,27,4.22222,0.06333,0.44105,3.1844,0.0279,0.0501,0.0000,0.0497,0.0000,0.150793650793651,0.004212171414799
5,VIDEO_18112022133056_1668758456943_EAR.csv,1,11,2.27273,0.01389,0.18711,0.0650,0.0026,0.0347,0.0000,0.0419,0.0000,0.081168831168831,0.00021093352511
6,VIDEO_18112022133155_1668758515992_EAR.csv,6,33,3.60606,0.06611,0.45338,3.5669,0.0300,0.0366,0.0000,0.0402,0.0000,0.128787878787879,0.003860258438554
7,VIDEO_18112022133254_1668758574829_EAR.csv,7,31,5.00000,0.08611,0.41056,5.4799,0.0354,0.0240,1.0000,0.0396,0.0000,0.178571428571429,0.00631323135728
8,VIDEO_18112022133353_1668758633830_EAR.csv,26,29,4.13793,0.06667,0.42178,3.3742,0.0281,0.0240,1.0000,0.0383,0.0000,0.147783251231527,0.00415542512817
9,VIDEO_18112022133452_1668758692845_EAR.csv,0,45,4.40000,0.11000,0.43298,9.4303,0.0476,0.0353,1.0000,0.0392,1.0000,0.157142857142857,0.007484370065633
