,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,,F*E,avg of 4 window size,average,,,Duration normalize,
0,VIDEO_19112022092434_1668830074283_EAR.csv,65,13,7.7692,0.0561,0.5037,2.8549,0.0283,,,,,0.1711,0.0048
1,VIDEO_19112022092532_1668830132841_EAR.csv,0,7,3.1429,0.0122,0.5173,0.1391,0.0063,,0.0173,0.0000,,0.0692,0.0004
2,VIDEO_19112022092631_1668830191748_EAR.csv,0,8,3.2500,0.0144,0.5067,0.1903,0.0073,,0.0140,0.0000,,0.0716,0.0005
3,VIDEO_19112022092730_1668830250775_EAR.csv,0,7,3.4286,0.0133,0.5098,0.1631,0.0068,0.0122,0.0122,0.0000,,0.0755,0.0005
4,VIDEO_19112022092829_1668830309745_EAR.csv,0,5,3.4000,0.0094,0.5002,0.0803,0.0047,0.0063,0.0107,0.0000,,0.0749,0.0004
5,VIDEO_19112022092928_1668830368743_EAR.csv,0,13,2.9231,0.0211,0.5029,0.4034,0.0106,0.0074,0.0107,0.0000,,0.0644,0.0007
6,VIDEO_19112022093027_1668830427755_EAR.csv,135,26,8.0769,0.1167,0.4481,10.9780,0.0523,0.0186,0.0166,1.0000,,0.1779,0.0093
7,VIDEO_19112022093126_1668830486890_EAR.csv,30,43,6.0465,0.1444,0.3583,13.4570,0.0518,0.0298,0.0210,1.0000,,0.1331,0.0069
8,VIDEO_19112022093225_1668830545752_EAR.csv,2,22,3.0000,0.0367,0.4585,1.1095,0.0168,0.0329,0.0205,0.0000,,0.0661,0.0011
9,VIDEO_19112022093324_1668830604751_EAR.csv,21,27,4.0000,0.0600,0.4341,2.8131,0.0260,0.0367,0.0211,1.0000,,0.0881,0.0023
10,VIDEO_19112022093423_1668830663758_EAR.csv,0,19,9.6842,0.1022,0.4115,7.7395,0.0421,0.0342,0.0230,1.0000,,0.2133,0.0090
11,VIDEO_19112022093522_1668830722749_EAR.csv,37,44,8.8864,0.2172,0.3166,26.8894,0.0688,0.0384,0.0268,1.0000,,0.1957,0.0135
12,VIDEO_19112022093621_1668830781749_EAR.csv,1,23,7.0870,0.0906,0.4070,6.0073,0.0369,0.0434,0.0276,1.0000,,0.1561,0.0058
13,VIDEO_19112022093720_1668830840746_EAR.csv,0,34,4.4412,0.0839,0.3845,4.8710,0.0323,0.0450,0.0279,1.0000,,0.0978,0.0032
14,VIDEO_19112022093819_1668830899749_EAR.csv,0,19,4.0000,0.0422,0.4434,1.4228,0.0187,0.0392,0.0273,0.0000,,0.0881,0.0016
15,VIDEO_19112022093918_1668830958755_EAR.csv,0,7,2.7143,0.0106,0.4336,0.0870,0.0046,0.0231,0.0259,0.0000,,0.0598,0.0003
16,VIDEO_19112022094017_1668831017784_EAR.csv,81,25,3.0400,0.0422,0.4212,1.3516,0.0178,0.0183,0.0254,0.0000,,0.0669,0.0012
17,VIDEO_19112022094116_1668831076786_EAR.csv,74,15,7.0000,0.0583,0.4355,2.6677,0.0254,0.0166,0.0254,0.0000,,0.1541,0.0039
18,VIDEO_19112022094215_1668831135778_EAR.csv,1,27,2.5556,0.0383,0.4415,1.1678,0.0169,0.0162,0.0250,0.0000,,0.0563,0.0010
19,VIDEO_19112022094314_1668831194788_EAR.csv,0,19,2.4211,0.0256,0.4350,0.5114,0.0111,0.0178,0.0243,0.0000,,0.0533,0.0006
20,VIDEO_19112022094413_1668831253936_EAR.csv,6,27,3.6296,0.0544,0.4183,2.2316,0.0228,0.0191,0.0242,0.0000,,0.0799,0.0018
21,VIDEO_19112022094512_1668831312787_EAR.csv,42,18,3.2778,0.0328,0.4470,0.8644,0.0147,0.0164,0.0238,0.0000,,0.0722,0.0011
22,VIDEO_19112022094611_1668831371789_EAR.csv,0,27,2.8148,0.0422,0.4036,1.2950,0.0170,0.0164,0.0235,0.0000,,0.0620,0.0011
23,VIDEO_19112022094710_1668831430792_EAR.csv,0,32,3.1563,0.0561,0.4063,2.3024,0.0228,0.0193,0.0234,0.0000,,0.0695,0.0016
24,VIDEO_19112022094809_1668831489785_EAR.csv,19,33,3.6970,0.0678,0.3543,2.9293,0.0240,0.0196,0.0235,1.0000,,0.0814,0.0020
25,VIDEO_19112022094908_1668831548946_EAR.csv,0,20,4.3000,0.0478,0.3682,1.5131,0.0176,0.0204,0.0232,0.0000,,0.0947,0.0017
26,VIDEO_19112022095007_1668831607785_EAR.csv,0,23,4.5652,0.0583,0.3803,2.3295,0.0222,0.0216,0.0232,0.0000,,0.1005,0.0022
27,VIDEO_19112022095106_1668831666785_EAR.csv,0,3,2.6667,0.0044,0.0481,0.0017,0.0002,0.0160,0.0224,0.0000,,0.0587,0.0000
28,VIDEO_19112022095205_1668831725786_EAR.csv,0,24,4.7083,0.0628,0.3764,2.6699,0.0236,0.0159,0.0224,1.0000,,0.1037,0.0024
29,VIDEO_19112022095304_1668831784785_EAR.csv,0,17,3.3529,0.0317,0.3748,0.6766,0.0119,0.0145,0.0221,0.0000,,0.0738,0.0009
30,VIDEO_19112022095403_1668831843783_EAR.csv,0,19,3.3158,0.0350,0.3968,0.8749,0.0139,0.0124,0.0218,0.0000,,0.0730,0.0010
31,VIDEO_19112022095502_1668831902790_EAR.csv,0,16,3.0000,0.0267,0.3934,0.5036,0.0105,0.0150,0.0215,0.0000,,0.0661,0.0007
32,VIDEO_19112022095601_1668831961784_EAR.csv,3,19,4.1053,0.0433,0.3787,1.2799,0.0164,0.0132,0.0213,0.0000,,0.0904,0.0015
33,VIDEO_19112022095700_1668832020786_EAR.csv,0,16,8.9375,0.0794,0.3407,3.8702,0.0271,0.0170,0.0215,1.0000,,0.1968,0.0053
