FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0,0,0,[0.6861437  0.45645794],[0.69250536 0.4492794 ],[0.70064497 0.4497377 ],[0.70864516 0.45487288],[0.69945627 0.45592159],[0.6919167  0.45592523]
2,0.29563064104109016,0.39780165678417656,0.34671614891263336,[0.6913206  0.45894715],[0.69965506 0.45059639],[0.7088334  0.45068938],[0.71732062 0.45601207],[0.70761526 0.45816088],[0.69888145 0.45845872]
3,0.2881661153201556,0.2618067044240512,0.27498640987210343,[0.69373816 0.45843905],[0.70148128 0.45191124],[0.70966464 0.45250419],[0.71732938 0.45703936],[0.70861572 0.45895547],[0.7006588  0.45894763]
4,0.3168906159096147,0.4065142068034996,0.3617024113565571,[0.69574612 0.45743588],[0.70366263 0.45031297],[0.71191525 0.45084503],[0.7193045  0.45561591],[0.71066695 0.45802802],[0.70274705 0.45794293]
5,0.2503054946360659,0.4264569827059868,0.3383812386710263,[0.69730818 0.45539209],[0.70541435 0.44914272],[0.71389747 0.44957268],[0.7215519  0.45388377],[0.71236074 0.4554075 ],[0.70421511 0.45515054]
6,0.3034440355049704,0.44241879625551933,0.37293141588024487,[0.69920039 0.45191172],[0.70697063 0.44449842],[0.71511614 0.44491825],[0.72265315 0.45002592],[0.71350873 0.45180899],[0.70573598 0.45159522]
7,0.34094920665917366,0.42119369098806125,0.38107144882361743,[0.70226783 0.45102409],[0.70980829 0.44341546],[0.71787852 0.44401795],[0.72528791 0.44993237],[0.71672046 0.45160368],[0.70900577 0.4514167 ]
8,0.2417668216582716,0.374642370134822,0.3082045958965468,[0.70285606 0.4489238 ],[0.70997077 0.44315577],[0.71778685 0.44410649],[0.72508347 0.44867694],[0.7165255  0.44910333],[0.70907962 0.44867912]
9,0.3017417277979249,0.3909458522263747,0.34634379001214977,[0.70276123 0.45131162],[0.7096194  0.44393253],[0.71722919 0.44453314],[0.72453058 0.45036435],[0.71595156 0.45075902],[0.70879096 0.45067608]
10,0.258803159077379,0.38652465579716905,0.322663907437274,[0.70162445 0.45358935],[0.70978588 0.44758821],[0.71812439 0.44832247],[0.72550428 0.45354176],[0.71694309 0.45428842],[0.70884544 0.45379597]
