FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765377
2,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765408
3,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765430
4,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765455
5,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765479
6,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765498
7,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765516
8,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765533
9,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765550
10,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765568
11,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765586
12,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765604
13,0,0,0,[0.71035844 0.43282932],[0.71774435 0.42654109],[0.72555679 0.42665052],[0.73259968 0.43121552],[0.72464722 0.43392548],[0.71693701 0.43374243],0.6842830777168274,0.46768319606781006,1663568765624
14,0.1588146434264453,0.42230804985281745,0.2905613466396314,[0.71876752 0.40851131],[0.72652084 0.40606326],[0.73463476 0.40817258],[0.74182165 0.41251749],[0.73432088 0.41134501],[0.726206   0.41029605],0.6968600153923035,0.443264365196228,1663568765657
15,0.20052793562236207,0.4921495523352492,0.34633874397880565,[0.71811682 0.41235563],[0.72539085 0.40828046],[0.7330578  0.40957704],[0.74006259 0.41439921],[0.73249501 0.41365528],[0.72501391 0.41298807],0.6949320435523987,0.4418896734714508,1663568765694
16,0.208172076641586,0.4136679551831098,0.31092001591234786,[0.7178598  0.41108382],[0.72486067 0.40654123],[0.73218644 0.40739542],[0.73910809 0.41222638],[0.73146117 0.41159159],[0.7243036  0.41110837],0.6936722993850708,0.4391208589076996,1663568765724
17,0.20852324519239734,0.42497264189312933,0.31674794354276337,[0.71717316 0.4095965 ],[0.72326237 0.40462965],[0.73070651 0.40520331],[0.73804373 0.41051421],[0.73017824 0.40937066],[0.72317588 0.40914053],0.6927759647369385,0.43853914737701416,1663568765753
18,0.09802938964733428,0.08997243379382747,0.09400091172058087,[0.71666384 0.41014773],[0.72327447 0.40811947],[0.73033464 0.40880457],[0.73762602 0.4117547 ],[0.7302624  0.41077474],[0.72308493 0.41026148],0.6930304765701294,0.4379976689815521,1663568765782
19,0.10067722825388145,0.09999428229557443,0.10033575527472793,[0.71599716 0.41343129],[0.72249585 0.41183552],[0.729366 0.412424],[0.73666382 0.41476321],[0.72932363 0.41444141],[0.72220564 0.41396797],0.6936367154121399,0.43724536895751953,1663568765811
20,0.0725801501765906,0.11361229119666195,0.09309622068662628,[0.71449071 0.41178238],[0.72106141 0.41084576],[0.72801059 0.41132584],[0.73553556 0.41335776],[0.72816259 0.41289186],[0.7208097  0.41231439],0.6916702389717102,0.4338013529777527,1663568765841
21,0.1832250049967945,0.29048295538080376,0.23685398018879913,[0.712708   0.40760377],[0.71932936 0.4049601 ],[0.72591978 0.40583381],[0.73281795 0.40969026],[0.7260173  0.40935385],[0.71907502 0.40883923],0.6910110116004944,0.4257190227508545,1663568765872
22,0.13552085173699602,0.2630522865372757,0.19928656913713585,[0.71256566 0.40763041],[0.71903473 0.40586761],[0.72578627 0.40660897],[0.7330882  0.40962189],[0.72590047 0.4093546 ],[0.71878457 0.40869716],0.6893656253814697,0.4276571571826935,1663568765907
23,0.03846988973989332,0.25671224961759626,0.1475910696787448,[0.71186399 0.40792361],[0.71818548 0.40769082],[0.72539896 0.40848258],[0.73328656 0.41063333],[0.72556674 0.40939474],[0.71812594 0.40842232],0.6882144212722778,0.43051743507385254,1663568765940
