FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.50605607 0.45461303],[0.51288575 0.45051432],[0.52040821 0.45115599],[0.52842194 0.45530823],[0.52052474 0.45545787],[0.51280308 0.45558551],0.47884809970855713,0.4801430106163025,1663315615204
2,0.0704474354361001,0.32716349996822847,0.19880546770216428,[0.49925318 0.44801793],[0.50850779 0.44747198],[0.51765233 0.45005947],[0.5266093  0.45339677],[0.51740384 0.4516719 ],[0.50782192 0.44966385],0.46672317385673523,0.47576260566711426,1663315615246
3,0.16901217863914525,0.3284305874202924,0.24872138302971883,[0.5004074  0.44900137],[0.50711679 0.4444544 ],[0.51500857 0.44607118],[0.52304208 0.45142397],[0.5143072  0.44934165],[0.50679713 0.44879258],0.47313815355300903,0.47808974981307983,1663315615285
4,0.11774821995502238,0.3562122310149603,0.23698022548499134,[0.49942636 0.44806021],[0.5057205  0.44433701],[0.51347584 0.44532019],[0.52186811 0.44894555],[0.51316386 0.44739628],[0.50565678 0.44752604],0.47393113374710083,0.47505611181259155,1663315615312
5,0.10178976851294089,0.3070197823585192,0.20440477543573005,[0.49812949 0.44600934],[0.50479376 0.44302738],[0.51266724 0.44413474],[0.5208838  0.44718504],[0.51237518 0.4459219 ],[0.50467032 0.44585231],0.4723690450191498,0.47275424003601074,1663315615346
6,0.14457572439098984,0.3146918675399879,0.22963379596548888,[0.49830207 0.44559216],[0.50499207 0.44148138],[0.51289576 0.44197258],[0.52099317 0.44557074],[0.51246077 0.44487068],[0.50482833 0.44510829],0.473094642162323,0.4736214280128479,1663315615380
7,0.1608443800433173,0.3502123674527024,0.25552837374800985,[0.50012571 0.44392741],[0.50683397 0.43977791],[0.51449513 0.44050595],[0.52212709 0.4442119 ],[0.5139851  0.44361052],[0.50653803 0.44369876],0.4730014503002167,0.4729742407798767,1663315615413
8,0.1421444574643685,0.4504688345623623,0.2963066460133654,[0.50175041 0.44448981],[0.50751287 0.4400472 ],[0.5150488  0.44044736],[0.52335423 0.44464877],[0.51475507 0.44313771],[0.50763369 0.44348064],0.47324931621551514,0.47196677327156067,1663315615446
9,0.21891458601005676,0.392323390939412,0.30561898847473434,[0.50284314 0.44231939],[0.50921255 0.43713868],[0.51692134 0.4381189 ],[0.52483463 0.44330108],[0.51649272 0.44249809],[0.50909537 0.44237536],0.47479555010795593,0.4659935235977173,1663315615477
10,0.11432974460242212,0.4185914351227792,0.2664605898626007,[0.50465965 0.44148061],[0.51064771 0.43796691],[0.51821345 0.43866605],[0.52629644 0.44241288],[0.51772785 0.44080454],[0.51050532 0.44072235],0.4760172367095947,0.46968895196914673,1663315615510
11,0.14884065486598622,0.33151162143507606,0.24017613815053113,[0.50542259 0.4413369 ],[0.51174086 0.43762362],[0.51918459 0.43838441],[0.5270431  0.44240761],[0.51890767 0.44125307],[0.51160169 0.44118282],0.4773246943950653,0.46947354078292847,1663315615548
12,0.15630317567243196,0.43478481546383674,0.2955439955681344,[0.50625443 0.44388551],[0.51268202 0.44015986],[0.52009636 0.44083676],[0.52792877 0.44484484],[0.51985121 0.44390991],[0.51254904 0.44385672],0.4793582558631897,0.47109678387641907,1663315615578
13,0.13099895686555355,0.39247816049485085,0.2617385586802022,[0.5065611  0.44329178],[0.51327121 0.44023609],[0.52096218 0.44128555],[0.52867842 0.44477049],[0.52031428 0.44392282],[0.51284438 0.44329843],0.4783553183078766,0.47004494071006775,1663315615610
14,0.1161057837129894,0.34679074926518866,0.23144826648908903,[0.50780553 0.44374093],[0.51485902 0.44154111],[0.52265698 0.44307616],[0.53035152 0.44649759],[0.52199572 0.44542855],[0.5143559  0.44432691],0.4809992015361786,0.47060757875442505,1663315615644
15,0.17109389349829682,0.3916148355102418,0.2813543645042693,[0.50967515 0.44399577],[0.51629078 0.44033593],[0.52377123 0.44149524],[0.53129905 0.44603887],[0.52311707 0.4449726 ],[0.51585203 0.44420516],0.4820393919944763,0.4703286588191986,1663315615678
16,0.15582420678507522,0.37863657286403224,0.2672303898245537,[0.51193744 0.44232923],[0.51869559 0.43914843],[0.5260011 0.4407286],[0.53336054 0.44518599],[0.52522451 0.44376296],[0.5180524  0.44269398],0.4849679172039032,0.46709302067756653,1663315615708
17,0.14504201481026718,0.29955602632389655,0.22229902056708187,[0.5140329  0.44127297],[0.52145284 0.43879834],[0.52911901 0.4406037 ],[0.53659606 0.44487554],[0.52860183 0.44357562],[0.52090102 0.44236746],0.4891899526119232,0.4623796045780182,1663315615740
