FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0.23454789599250012,0.3960990053893563,0.3153234506909282,[0.37537283 0.40863261],[0.39258969 0.39861399],[0.41143319 0.39651883],[0.42536598 0.39883617],[0.40722299 0.40796417],[0.3892484  0.40982929],0.32299965620040894,0.4770289957523346,1663311797203
2,0.25921845811369015,0.2958782658988512,0.27754836200627064,[0.35685438 0.40812269],[0.37372068 0.39939338],[0.39196223 0.39903185],[0.40551811 0.4026562 ],[0.3861413  0.41073322],[0.36945346 0.41094917],0.3064119517803192,0.47671329975128174,1663311797223
3,0.2575328815344177,0.26573335643315465,0.26163311898378616,[0.34571421 0.40628529],[0.36405534 0.3982287 ],[0.38219666 0.39873448],[0.39462417 0.4025988 ],[0.37671021 0.41017854],[0.3595781  0.40997651],0.2953207790851593,0.4715581238269806,1663311797243
4,0.2615859591046316,0.3153997757915184,0.288492867448075,[0.34505057 0.38563371],[0.36209461 0.37734267],[0.37921315 0.37771145],[0.39176396 0.38194516],[0.37381572 0.38875043],[0.35741588 0.38863945],0.2976664900779724,0.44482341408729553,1663311797260
5,0.22878832410392047,0.3783681921360728,0.3035782581199966,[0.35461748 0.37650362],[0.37092918 0.36823446],[0.38810071 0.36780888],[0.40162623 0.37092039],[0.38387609 0.37759832],[0.36706138 0.37853116],0.3094754219055176,0.433441698551178,1663311797276
6,0.26226412535124327,0.43642465721974893,0.3493443912854961,[0.3491745  0.37254101],[0.36336941 0.362896  ],[0.37860131 0.36196738],[0.39124337 0.36546549],[0.37635922 0.3727192 ],[0.3616322  0.37415591],0.30018606781959534,0.42735499143600464,1663311797295
7,0.2802691928604881,0.6365118558120479,0.45839052433626803,[0.34139988 0.37486005],[0.35478127 0.36463818],[0.36958766 0.3634055 ],[0.3824994  0.36639374],[0.36765814 0.37477076],[0.35322526 0.3765305 ],0.2933714687824249,0.4284537434577942,1663311797315
8,0.27122179549939524,0.5704198059612197,0.4208208007303075,[0.33668932 0.3825416 ],[0.34843254 0.37266272],[0.36254764 0.37007359],[0.37510753 0.3709892 ],[0.36162001 0.38083941],[0.34840491 0.38361847],0.2923732101917267,0.44420284032821655,1663311797339
9,0.16788878459780404,0.6647211716635161,0.41630497813066003,[0.33490425 0.38787934],[0.34791297 0.38105473],[0.36264616 0.37738681],[0.37568629 0.37517944],[0.36139268 0.38461831],[0.34724832 0.38802609],0.28729522228240967,0.4547312259674072,1663311797367
10,0.208189618315022,0.609663685586342,0.408926651950682,[0.34301245 0.38769466],[0.35624394 0.37791511],[0.37167609 0.37369046],[0.38569036 0.37222299],[0.37107038 0.38304064],[0.35617042 0.38744691],0.29372066259384155,0.46069878339767456,1663311797397
11,0.20825815849738788,0.5377011027535603,0.3729796306254741,[0.35505056 0.38489825],[0.36737487 0.37544498],[0.38261336 0.37201846],[0.39694926 0.37106133],[0.38189957 0.3809725 ],[0.36707106 0.38483614],0.299983948469162,0.46014320850372314,1663311797426
12,0.2525442225158669,0.4107861266518343,0.3316651745838506,[0.36764693 0.38261485],[0.380858  0.3700951],[0.39721629 0.36752981],[0.41318542 0.36889893],[0.39707622 0.37891814],[0.38100266 0.3827267 ],0.3134492039680481,0.4555054306983948,1663311797458
13,0.21932532737794797,0.3952951948523078,0.3073102611151279,[0.371952   0.37868133],[0.3870343  0.36702347],[0.40501854 0.36386526],[0.42142138 0.36477959],[0.40482038 0.37481055],[0.38713416 0.37861627],0.31457510590553284,0.4519938826560974,1663311797481
14,0.2348170022817822,0.45315627366728173,0.343986637974532,[0.37375748 0.37635407],[0.38944048 0.36402518],[0.4078747  0.36096117],[0.42409068 0.36235407],[0.40702638 0.37309071],[0.38897493 0.37639278],0.31649309396743774,0.4501611590385437,1663311797499
15,0.23429140779489088,0.39865845010348316,0.31647492894918705,[0.37062719 0.37874392],[0.38509494 0.36639985],[0.40289223 0.36298603],[0.41899762 0.36419344],[0.40208253 0.37473485],[0.38492218 0.37829074],0.31739750504493713,0.4507843554019928,1663311797516
16,0.226495859452583,0.4072649134937021,0.31688038647314254,[0.36504996 0.38128653],[0.37946591 0.36854553],[0.39746967 0.36499211],[0.41356233 0.36575913],[0.39710629 0.37623322],[0.37983671 0.38036665],0.31424981355667114,0.4552501440048218,1663311797534
17,0.2196224811289573,0.3461261545757681,0.2828743178523627,[0.36661133 0.37991959],[0.38162914 0.3666468 ],[0.40018085 0.36219957],[0.41803333 0.36301678],[0.3999576  0.37393066],[0.38189873 0.37868637],0.3078765869140625,0.4565345048904419,1663311797550
18,0.22833744042022064,0.33696203694253524,0.28264973868137794,[0.3680177  0.37753502],[0.38290408 0.36399779],[0.40178227 0.35959923],[0.41968763 0.36047265],[0.40265551 0.37170759],[0.38423482 0.37663773],0.3093181550502777,0.45424652099609375,1663311797565
19,0.2328224841282971,0.40289707818027065,0.31785978115428387,[0.37084615 0.37660119],[0.38601142 0.36270675],[0.40477821 0.35857016],[0.42228678 0.35974747],[0.40550643 0.37082309],[0.38715255 0.37558767],0.3143447935581207,0.4519779086112976,1663311797582
20,0.24045530340529844,0.4362158519017066,0.33833557765350253,[0.3738814  0.37531045],[0.38802597 0.36172441],[0.40597898 0.35792851],[0.42305905 0.35912883],[0.40618455 0.36996186],[0.38878691 0.37456423],0.3190298080444336,0.4485819935798645,1663311797599
21,0.22485506864742064,0.4289025284212612,0.32687879853434093,[0.37317541 0.37799555],[0.38803619 0.36436215],[0.40628251 0.36022633],[0.42317584 0.36128744],[0.40655091 0.37169886],[0.38879734 0.37657067],0.3187152147293091,0.45207762718200684,1663311797614
22,0.23933521616230924,0.4066708997860941,0.3230030579742017,[0.37386483 0.38139132],[0.38848615 0.36689568],[0.40736523 0.36231688],[0.42507946 0.36363986],[0.40852514 0.37487093],[0.39024431 0.38011754],0.32221946120262146,0.45673877000808716,1663311797632
23,0.23962771331329882,0.3961006815988354,0.3178641974560671,[0.37871498 0.37839821],[0.39277238 0.36482573],[0.41105291 0.36082706],[0.42884755 0.3625066 ],[0.41252002 0.3729794 ],[0.39470491 0.37764484],0.3235452473163605,0.4552246630191803,1663311797647
24,0.2229777670511821,0.3820017023545245,0.30248973470285334,[0.38247511 0.37488943],[0.3964752  0.36220226],[0.41417536 0.35843036],[0.43107745 0.36009127],[0.41475749 0.36950466],[0.39747474 0.37372628],0.3275788724422455,0.4506601095199585,1663311797663
25,0.22218145060683187,0.40248939946599627,0.3123354250364141,[0.38358715 0.37331447],[0.40053391 0.36001357],[0.42036831 0.35601395],[0.43715397 0.35794756],[0.41952354 0.36832529],[0.4001582 0.3724308],0.32365742325782776,0.4472478926181793,1663311797679
26,0.21332651975640915,0.3816817438836651,0.2975041318200371,[0.38170323 0.37366787],[0.39978954 0.36051589],[0.42003953 0.3571676 ],[0.43665341 0.35917583],[0.41814408 0.3689785 ],[0.39838675 0.37271979],0.3231883645057678,0.4491501450538635,1663311797696
27,0.2294812719633173,0.3962293985236366,0.312855335243477,[0.38311225 0.37632763],[0.39896032 0.36258963],[0.41827327 0.35912064],[0.43538183 0.3613908 ],[0.41692218 0.37134749],[0.398375   0.37522489],0.3278666138648987,0.45136526226997375,1663311797714
28,0.24471883561349464,0.4058941024091247,0.32530646901130966,[0.38281915 0.37569487],[0.39775708 0.36172438],[0.41657901 0.35821593],[0.43365234 0.36025083],[0.41499242 0.37102851],[0.39707994 0.37479901],0.32591718435287476,0.45133888721466064,1663311797730
29,0.23900351207951,0.3014894156467107,0.27024646386311035,[0.38270572 0.37289566],[0.39840943 0.35962674],[0.41779086 0.35493773],[0.43555355 0.35585749],[0.4188067  0.36818752],[0.39996982 0.37278795],0.3255665898323059,0.4484277069568634,1663311797748
