FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0,0,0,0,0,0,0,0,0,1663658633314
2,0,0,0,0,0,0,0,0,0,1663658633329
3,0,0,0,0,0,0,0,0,0,1663658633343
4,0,0,0,0,0,0,0,0,0,1663658633357
5,0,0,0,0,0,0,0,0,0,1663658633373
6,0,0,0,0,0,0,0,0,0,1663658633384
7,0,0,0,0,0,0,0,0,0,1663658633395
8,0,0,0,0,0,0,0,0,0,1663658633407
9,0,0,0,0,0,0,0,0,0,1663658633421
10,0,0,0,0,0,0,0,0,0,1663658633435
11,0,0,0,0,0,0,0,0,0,1663658633450
12,0,0,0,0,0,0,0,0,0,1663658633467
13,0,0,0,0,0,0,0,0,0,1663658633484
14,0,0,0,0,0,0,0,0,0,1663658633502
15,0,0,0,0,0,0,0,0,0,1663658633520
16,0,0,0,0,0,0,0,0,0,1663658633537
17,0,0,0,0,0,0,0,0,0,1663658633556
18,0,0,0,0,0,0,0,0,0,1663658633574
19,0,0,0,0,0,0,0,0,0,1663658633593
20,0,0,0,0,0,0,0,0,0,1663658633610
21,0,0,0,0,0,0,0,0,0,1663658633628
22,0,0,0,0,0,0,0,0,0,1663658633644
23,0,0,0,0,0,0,0,0,0,1663658633661
24,0,0,0,0,0,0,0,0,0,1663658633678
25,0,0,0,0,0,0,0,0,0,1663658633695
26,0,0,0,0,0,0,0,0,0,1663658633712
27,0,0,0,0,0,0,0,0,0,1663658633730
28,0,0,0,0,0,0,0,0,0,1663658633749
29,0,0,0,0,0,0,0,0,0,1663658633765
30,0,0,0,0,0,0,0,0,0,1663658633783
31,0,0,0,0,0,0,0,0,0,1663658633801
32,0,0,0,0,0,0,0,0,0,1663658633817
33,0,0,0,0,0,0,0,0,0,1663658633837
34,0,0,0,0,0,0,0,0,0,1663658633854
35,0,0,0,0,0,0,0,0,0,1663658633872
36,0,0,0,0,0,0,0,0,0,1663658633889
37,0,0,0,0,0,0,0,0,0,1663658633906
38,0,0,0,0,0,0,0,0,0,1663658633923
39,0,0,0,0,0,0,0,0,0,1663658633941
40,0,0,0,0,0,0,0,0,0,1663658633959
41,0,0,0,0,0,0,0,0,0,1663658633976
42,0,0,0,0,0,0,0,0,0,1663658633995
43,0,0,0,0,0,0,0,0,0,1663658634012
44,0,0,0,0,0,0,0,0,0,1663658634031
45,0,0,0,0,0,0,0,0,0,1663658634049
46,0,0,0,0,0,0,0,0,0,1663658634067
47,0,0,0,0,0,0,0,0,0,1663658634084
48,0,0,0,0,0,0,0,0,0,1663658634102
49,0,0,0,0,0,0,0,0,0,1663658634119
50,0,0,0,0,0,0,0,0,0,1663658634138
51,0,0,0,0,0,0,0,0,0,1663658634157
52,0,0,0,0,0,0,0,0,0,1663658634174
53,0,0,0,0,0,0,0,0,0,1663658634191
54,0,0,0,0,0,0,0,0,0,1663658634209
55,0,0,0,0,0,0,0,0,0,1663658634227
56,0,0,0,0,0,0,0,0,0,1663658634246
57,0,0,0,0,0,0,0,0,0,1663658634263
58,0,0,0,0,0,0,0,0,0,1663658634281
59,0,0,0,0,0,0,0,0,0,1663658634299
60,0,0,0,0,0,0,0,0,0,1663658634317
61,0,0,0,0,0,0,0,0,0,1663658634335
62,0,0,0,0,0,0,0,0,0,1663658634352
63,0,0,0,0,0,0,0,0,0,1663658634370
64,0,0,0,0,0,0,0,0,0,1663658634388
65,0,0,0,0,0,0,0,0,0,1663658634406
66,0,0,0,0,0,0,0,0,0,1663658634424
67,0,0,0,0,0,0,0,0,0,1663658634441
68,0,0,0,0,0,0,0,0,0,1663658634459
69,0,0,0,0,0,0,0,0,0,1663658634476
70,0,0,0,0,0,0,0,0,0,1663658634494
71,0,0,0,0,0,0,0,0,0,1663658634510
72,0,0,0,0,0,0,0,0,0,1663658634528
73,0,0,0,0,0,0,0,0,0,1663658634545
74,0,0,0,0,0,0,0,0,0,1663658634563
75,0,0,0,0,0,0,0,0,0,1663658634580
76,0,0,0,0,0,0,0,0,0,1663658634596
77,0,0,0,0,0,0,0,0,0,1663658634613
78,0,0,0,0,0,0,0,0,0,1663658634630
79,0,0,0,0,0,0,0,0,0,1663658634646
80,0,0,0,0,0,0,0,0,0,1663658634660
81,0,0,0,0,0,0,0,0,0,1663658634675
82,0,0,0,0,0,0,0,0,0,1663658634692
83,0,0,0,0,0,0,0,0,0,1663658634710
84,0,0,0,0,0,0,0,0,0,1663658634727
85,0,0,0,0,0,0,0,0,0,1663658634744
86,0,0,0,0,0,0,0,0,0,1663658634762
87,0,0,0,0,0,0,0,0,0,1663658634779
88,0,0,0,0,0,0,0,0,0,1663658634798
89,0,0,0,0,0,0,0,0,0,1663658634814
