FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0,0,0,0,0,0,0,0,0,1663659450807
2,0,0,0,0,0,0,0,0,0,1663659450819
3,0,0,0,0,0,0,0,0,0,1663659450832
4,0,0,0,0,0,0,0,0,0,1663659450854
5,0,0,0,0,0,0,0,0,0,1663659450866
6,0,0,0,0,0,0,0,0,0,1663659450877
7,0,0,0,0,0,0,0,0,0,1663659450888
8,0,0,0,0,0,0,0,0,0,1663659450899
9,0,0,0,0,0,0,0,0,0,1663659450913
10,0,0,0,0,0,0,0,0,0,1663659450928
11,0,0,0,0,0,0,0,0,0,1663659450944
12,0,0,0,0,0,0,0,0,0,1663659450961
13,0,0,0,0,0,0,0,0,0,1663659450977
14,0,0,0,0,0,0,0,0,0,1663659450991
15,0,0,0,0,0,0,0,0,0,1663659451004
16,0,0,0,0,0,0,0,0,0,1663659451017
17,0,0,0,0,0,0,0,0,0,1663659451032
18,0,0,0,0,0,0,0,0,0,1663659451049
19,0,0,0,0,0,0,0,0,0,1663659451064
20,0,0,0,0,0,0,0,0,0,1663659451078
21,0,0,0,0,0,0,0,0,0,1663659451094
22,0,0,0,0,0,0,0,0,0,1663659451110
23,0,0,0,0,0,0,0,0,0,1663659451129
24,0,0,0,0,0,0,0,0,0,1663659451146
25,0,0,0,0,0,0,0,0,0,1663659451163
26,0,0,0,0,0,0,0,0,0,1663659451180
27,0,0,0,0,0,0,0,0,0,1663659451197
28,0,0,0,0,0,0,0,0,0,1663659451214
29,0,0,0,0,0,0,0,0,0,1663659451231
30,0,0,0,0,0,0,0,0,0,1663659451247
31,0,0,0,0,0,0,0,0,0,1663659451265
32,0,0,0,0,0,0,0,0,0,1663659451284
33,0,0,0,0,0,0,0,0,0,1663659451303
34,0,0,0,0,0,0,0,0,0,1663659451320
35,0,0,0,0,0,0,0,0,0,1663659451337
36,0,0,0,0,0,0,0,0,0,1663659451354
37,0,0,0,0,0,0,0,0,0,1663659451370
38,0,0,0,0,0,0,0,0,0,1663659451387
39,0,0,0,0,0,0,0,0,0,1663659451403
40,0,0,0,0,0,0,0,0,0,1663659451422
41,0,0,0,0,0,0,0,0,0,1663659451439
42,0,0,0,0,0,0,0,0,0,1663659451456
43,0,0,0,0,0,0,0,0,0,1663659451474
44,0,0,0,0,0,0,0,0,0,1663659451491
45,0,0,0,0,0,0,0,0,0,1663659451508
46,0,0,0,0,0,0,0,0,0,1663659451527
47,0,0,0,0,0,0,0,0,0,1663659451544
48,0,0,0,0,0,0,0,0,0,1663659451562
49,0,0,0,0,0,0,0,0,0,1663659451580
50,0,0,0,0,0,0,0,0,0,1663659451597
51,0,0,0,0,0,0,0,0,0,1663659451616
52,0,0,0,0,0,0,0,0,0,1663659451633
53,0,0,0,0,0,0,0,0,0,1663659451650
54,0,0,0,0,0,0,0,0,0,1663659451666
55,0,0,0,0,0,0,0,0,0,1663659451682
56,0,0,0,0,0,0,0,0,0,1663659451700
57,0,0,0,0,0,0,0,0,0,1663659451716
58,0,0,0,0,0,0,0,0,0,1663659451734
59,0,0,0,0,0,0,0,0,0,1663659451750
60,0,0,0,0,0,0,0,0,0,1663659451769
61,0,0,0,0,0,0,0,0,0,1663659451784
62,0,0,0,0,0,0,0,0,0,1663659451797
63,0,0,0,0,0,0,0,0,0,1663659451810
64,0,0,0,0,0,0,0,0,0,1663659451826
65,0,0,0,0,0,0,0,0,0,1663659451841
66,0,0,0,0,0,0,0,0,0,1663659451857
67,0,0,0,0,0,0,0,0,0,1663659451873
