FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.24845940481756465,0.3787384983714941,0.3135989515945294,[0.4621889  0.30954999],[0.47753534 0.30149233],[0.49530292 0.30186787],[0.50991112 0.30742753],[0.49055657 0.31297937],[0.47422218 0.31266624],1663674137348
2,0.23909175899395566,0.2969852944938538,0.2680385267439047,[0.46087497 0.30246744],[0.47629005 0.29481649],[0.49450955 0.29591364],[0.51034099 0.30178231],[0.48972303 0.30692077],[0.47304183 0.30600792],1663674137376
3,0.22372917087407107,0.3236479678338713,0.2736885693539712,[0.45628649 0.30191877],[0.47197732 0.29410416],[0.48937038 0.29414594],[0.50515789 0.29873988],[0.48581797 0.30465615],[0.46923935 0.30457181],1663674137398
4,0.21082813735905068,0.2801598800415903,0.2454940087003205,[0.45478609 0.29834071],[0.47206512 0.29195523],[0.48965371 0.29190618],[0.50477856 0.29508501],[0.48613894 0.30198514],[0.46894407 0.30192834],1663674137420
5,0.2046524320696137,0.29340882667630896,0.24903062937296133,[0.45105577 0.29820961],[0.46892312 0.29124659],[0.48729208 0.29078329],[0.50294793 0.29365453],[0.48392591 0.30112973],[0.46593985 0.30125245],1663674137442
6,0.16841942197746085,0.3062535778029494,0.2373364998902051,[0.44912058 0.30065775],[0.46627459 0.29508248],[0.48500338 0.29450619],[0.50141305 0.29623061],[0.48239264 0.30318034],[0.46408707 0.30341887],1663674137462
7,0.1939557807678792,0.29739773057384916,0.24567675567086417,[0.45032251 0.30111569],[0.46776181 0.29467952],[0.48634982 0.29353836],[0.50233543 0.29582462],[0.4838815  0.30362502],[0.4657951  0.30437839],1663674137488
8,0.2174001997839157,0.32394247170397406,0.27067133574394486,[0.45279911 0.30092663],[0.47022182 0.2928465 ],[0.48881871 0.29188085],[0.50467378 0.29510146],[0.48676333 0.30303654],[0.4686425  0.30408955],1663674137507
9,0.2195318291013476,0.31871001672430355,0.2691209229128256,[0.45610106 0.29786932],[0.47307029 0.29000527],[0.49097031 0.28929216],[0.5060522  0.29242134],[0.48870882 0.29998812],[0.47127581 0.300989  ],1663674137530
10,0.2093407896710622,0.2671970323070101,0.23826891098903613,[0.45721468 0.29489061],[0.47484896 0.28727779],[0.49316952 0.28654495],[0.50834274 0.28948212],[0.49103364 0.2968913 ],[0.47312206 0.2981022 ],1663674137549
11,0.21522492727784417,0.318092514309204,0.2666587207935241,[0.46012482 0.29561239],[0.47682485 0.28774345],[0.49483287 0.28734487],[0.51006156 0.29072395],[0.49272057 0.29773363],[0.47534433 0.29864001],1663674137571
12,0.2070739715956102,0.2992594740268591,0.25316672281123465,[0.46015209 0.297416  ],[0.47811446 0.28927532],[0.49693671 0.28880048],[0.51238501 0.29206041],[0.4944841  0.29918894],[0.47618762 0.30017787],1663674137589
13,0.202457123626677,0.30743182190400825,0.2549444727653426,[0.46483451 0.29700273],[0.48335281 0.29018134],[0.50230879 0.28931561],[0.51821828 0.29220846],[0.49961859 0.29993755],[0.48085004 0.30063134],1663674137606
14,0.20465398509695093,0.30774758613322406,0.2562007856150875,[0.46514818 0.29457998],[0.48390749 0.28718296],[0.50294149 0.28683394],[0.518498  0.2901808],[0.49997956 0.2972579 ],[0.48131716 0.29794976],1663674137626
15,0.21504356791388116,0.290554706060758,0.2527991369873196,[0.46167967 0.293542  ],[0.48027804 0.28626597],[0.49909034 0.2865333 ],[0.51489019 0.29078841],[0.49564222 0.29745051],[0.47719797 0.29731154],1663674137644
16,0.21451239360335214,0.26563152658429423,0.2400719600938232,[0.45806757 0.29158506],[0.47659788 0.28344268],[0.49557489 0.28314298],[0.51151085 0.2870335 ],[0.49246457 0.29407427],[0.474002   0.29479602],1663674137662
17,0.2113021589444401,0.2536137144867206,0.23245793671558035,[0.45954141 0.29300684],[0.47718072 0.28511727],[0.49553162 0.2845788 ],[0.51141828 0.28804418],[0.49335963 0.29516461],[0.47544554 0.29619938],1663674137683
18,0.2022839811038303,0.25552075043267863,0.22890236576825446,[0.46226597 0.29983491],[0.47947758 0.29279241],[0.49792904 0.29183796],[0.51423824 0.29478198],[0.496142   0.30229607],[0.47790903 0.30319053],1663674137704
19,0.19880271501704688,0.256459483091738,0.22763109905439244,[0.45789686 0.30433205],[0.47481787 0.29685909],[0.49334377 0.29550314],[0.51006806 0.29826087],[0.49173003 0.30584195],[0.47338155 0.30717915],1663674137723
20,0.19972035015944362,0.2618898143087915,0.23080508223411755,[0.45618948 0.30476856],[0.47388434 0.2972064 ],[0.49273896 0.29587165],[0.50948894 0.29864782],[0.49099642 0.30645829],[0.47231889 0.30779207],1663674137742
21,0.2030704088503122,0.2906158743750632,0.2468431416126877,[0.45979631 0.30293521],[0.47644746 0.29551136],[0.4951376  0.29389948],[0.51202011 0.29638052],[0.49361083 0.30464572],[0.47536951 0.30597848],1663674137763
22,0.2018514378628415,0.2860459842175679,0.24394871104020469,[0.46375945 0.29837352],[0.48089141 0.29051188],[0.49931651 0.28902632],[0.51586664 0.29178679],[0.49774668 0.29944384],[0.47953543 0.30109343],1663674137784
23,0.21352891978273927,0.259320518432739,0.23642471910773916,[0.47944698 0.29732782],[0.49695772 0.2905204 ],[0.51489675 0.28960371],[0.53025806 0.29246888],[0.51263934 0.30035001],[0.49488485 0.30113736],1663674137806
24,0.21417309139970417,0.25921116367882574,0.23669212753926494,[0.48185161 0.29755002],[0.49970904 0.29141137],[0.51784581 0.29119262],[0.53385311 0.29477078],[0.51498049 0.30204785],[0.49670103 0.30207464],1663674137826
25,0.19782615852359847,0.2290914990458114,0.21345882878470493,[0.47576413 0.29990575],[0.4932625  0.29377961],[0.51110214 0.29328772],[0.52700251 0.29582274],[0.50801873 0.30308527],[0.48978552 0.30322558],1663674137858
