FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.21335303904625413,0.28657097133672516,0.24996200519148964,[0.53881663 0.35238823],[0.55301982 0.34538779],[0.56724906 0.3459143 ],[0.57852221 0.35038447],[0.5649063  0.35389966],[0.55124503 0.35384583],1663675349917
2,0.22190597681440172,0.26704651205848573,0.24447624443644372,[0.52834129 0.35261774],[0.54235786 0.34514409],[0.55654258 0.34555191],[0.56806624 0.35034379],[0.55440658 0.35389453],[0.54067779 0.35403427],1663675349951
3,0.24075603485340588,0.3039388653441318,0.2723474500987688,[0.52259582 0.35141647],[0.5363403  0.34335941],[0.55087179 0.34376103],[0.56223857 0.34880522],[0.54925376 0.35286748],[0.53534842 0.35319024],1663675349975
4,0.25024341038385667,0.29280835946866385,0.2715258849262603,[0.51995587 0.35204172],[0.53345317 0.34360665],[0.54768848 0.34395826],[0.55880672 0.34883878],[0.546372   0.35317275],[0.53270108 0.35378113],1663675349996
5,0.2762535117650519,0.3218270377294059,0.29904027474722894,[0.52122891 0.35351914],[0.53409559 0.34375536],[0.54860824 0.34430656],[0.56010592 0.35049015],[0.546933   0.35451266],[0.53350556 0.35494205],1663675350020
6,0.2685134392939156,0.30534703845027633,0.28693023887209596,[0.52499908 0.35032007],[0.53753889 0.34080982],[0.55194014 0.34123355],[0.56377852 0.34716204],[0.55011177 0.35120654],[0.5367856  0.35153875],1663675350041
7,0.27611177664282993,0.32458666295978295,0.30034921980130647,[0.52757651 0.35081649],[0.54057586 0.3415235 ],[0.55493373 0.34217831],[0.56624454 0.34822854],[0.55295068 0.35231271],[0.53953618 0.35254917],1663675350063
8,0.2630244045330853,0.30078371613231464,0.2819040603327,[0.53277266 0.35097259],[0.54546493 0.34149387],[0.56001949 0.34176975],[0.57178652 0.34800225],[0.55797005 0.35160378],[0.54446906 0.35198399],1663675350083
9,0.2682685943801189,0.30247322904749097,0.2853709117138049,[0.53771621 0.3520453 ],[0.55152667 0.34331721],[0.56600839 0.34424824],[0.57710814 0.35018745],[0.56365472 0.35421103],[0.54985541 0.35411027],1663675350103
10,0.2661795514761375,0.2832497189380155,0.2747146352070765,[0.54166609 0.35271841],[0.55519938 0.34359017],[0.56984389 0.34450763],[0.58129334 0.35092056],[0.56719035 0.35439709],[0.55345136 0.35432717],1663675350131
