FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.36086435522107424,0.3395897590224099,0.35022705712174207,[0.56888467 0.46786705],[0.5880987  0.45228267],[0.60736799 0.45226532],[0.62157172 0.45862624],[0.60535669 0.47070605],[0.58606303 0.4722352 ]
2,0.3346380608798845,0.34059139661012106,0.33761472874500276,[0.56789237 0.46548522],[0.58781612 0.45059189],[0.60720909 0.45067787],[0.6211468  0.45669514],[0.60511786 0.46776578],[0.58564758 0.46937591]
3,0.3269298670088814,0.37453432214703447,0.35073209457795795,[0.57277328 0.46325374],[0.59350675 0.44748858],[0.61361295 0.44652241],[0.62751967 0.45220894],[0.61115378 0.46404195],[0.59081471 0.46612149]
4,0.3059687540285136,0.32675886232378987,0.31636380817615173,[0.57863307 0.45931906],[0.59765607 0.44450733],[0.61703539 0.44294658],[0.63182169 0.44780618],[0.61576742 0.45888868],[0.59616715 0.46175259]
5,0.3097858377490308,0.2993435024901466,0.30456467011958865,[0.58363724 0.44837183],[0.60325474 0.43530136],[0.62210947 0.43534574],[0.63550407 0.44021299],[0.62008822 0.45065907],[0.60093665 0.45222759]
6,0.35456223168965756,0.31466019560421954,0.3346112136469386,[0.5843339  0.44132593],[0.60486186 0.42618853],[0.62446398 0.42643949],[0.63758016 0.43295321],[0.622612   0.44444737],[0.6028533  0.44620734]
7,0.30323061974506965,0.2738819932429275,0.28855630649399855,[0.58854836 0.43296355],[0.60783744 0.42028204],[0.62593681 0.42035505],[0.63911492 0.42635   ],[0.62479353 0.4349322 ],[0.60627401 0.43651283]
8,0.30463125660393375,0.2714023577707326,0.2880168071873332,[0.59209752 0.4259007 ],[0.61117369 0.4140057 ],[0.6290288  0.41396821],[0.64191628 0.4195337 ],[0.62819886 0.42835203],[0.60983509 0.4301421 ]
9,0.3109241822678308,0.26945501558646434,0.2901895989271476,[0.59260446 0.42191726],[0.61209953 0.40932673],[0.63006723 0.40964308],[0.64238739 0.41556033],[0.62897944 0.42418247],[0.61063772 0.42589113]
10,0.314642386489182,0.29038848767376757,0.30251543708147477,[0.59143764 0.41815135],[0.61119652 0.40569803],[0.62944627 0.40595913],[0.64181173 0.41239855],[0.62842739 0.42095098],[0.60974193 0.4225145 ]
11,0.3040185012978252,0.29903013581101306,0.30152431855441914,[0.59185791 0.41477811],[0.61131215 0.40299574],[0.62927365 0.40369481],[0.64148486 0.41008753],[0.62804377 0.4178845 ],[0.60970318 0.41898158]
