FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.4082818513367216,0.3161364258611606,0.3622091385989411,[0.54616076 0.43236285],[0.57381088 0.41300774],[0.6000253  0.41472471],[0.61616558 0.42608687],[0.59805143 0.44219303],[0.57181674 0.44279456]
2,0.3795321721542562,0.3236547385823442,0.3515934553683002,[0.54731286 0.43459824],[0.57606345 0.41605151],[0.60258782 0.4176257 ],[0.61833394 0.42806417],[0.59944814 0.44353133],[0.57275677 0.4438979 ]
3,0.37774136762749927,0.3095943091544384,0.3436678383909688,[0.54979527 0.43789679],[0.57810599 0.41860086],[0.60450953 0.41955015],[0.62023705 0.42946142],[0.60156554 0.44518575],[0.57508242 0.44622958]
4,0.3642289510878881,0.3114771711289166,0.33785306110840235,[0.55135822 0.4376784 ],[0.57998431 0.41954809],[0.60659242 0.42055863],[0.62227577 0.43003285],[0.60358864 0.44543964],[0.57697862 0.44627777]
5,0.36184305809421313,0.31493077406299447,0.3383869160786038,[0.55232942 0.43865025],[0.58082187 0.42088977],[0.60734242 0.42215824],[0.62301791 0.43156067],[0.60459566 0.4467262 ],[0.57806557 0.44743896]
6,0.3568611095853508,0.29381902696374296,0.32534006827454687,[0.55468887 0.4399316 ],[0.58241534 0.42264608],[0.60870045 0.42302403],[0.62446648 0.43121192],[0.60567611 0.44725153],[0.57936883 0.44823903]
7,0.11418256964579232,0.09236327603173004,0.10327292283876119,[0.55738914 0.44270712],[0.58274615 0.44345769],[0.60867268 0.44509417],[0.62831974 0.44415149],[0.60547364 0.45258299],[0.57873285 0.45044512]
8,0.29765609833394296,0.23674893264198954,0.26720251548796625,[0.55486792 0.43946004],[0.58277625 0.42658383],[0.60875762 0.42769378],[0.62516171 0.43503663],[0.60575026 0.44794041],[0.57943243 0.44778249]
9,0.36186807549735656,0.3092030280424392,0.3355355517698979,[0.55398721 0.43960664],[0.58295703 0.42165202],[0.60937989 0.42335221],[0.62462771 0.43313295],[0.60555989 0.44792378],[0.57909071 0.44784075]
10,0.368782691186928,0.3297485880987454,0.34926563964283674,[0.55422521 0.43911898],[0.58412576 0.42023799],[0.61143059 0.42191839],[0.62653643 0.43184   ],[0.60730684 0.44752517],[0.58009797 0.44761032]
11,0.3799225714819386,0.3580672509602876,0.36899491122111305,[0.55747235 0.44026878],[0.58682632 0.41976416],[0.61435449 0.42049053],[0.62920278 0.43084586],[0.61025012 0.44692907],[0.58323199 0.44775137]
12,0.38175019124152054,0.3597551463363655,0.37075266878894303,[0.5603497  0.43995297],[0.58992606 0.41898116],[0.61769539 0.41948652],[0.63220417 0.42991975],[0.6129908  0.44613191],[0.58575296 0.44700781]
13,0.38092752639743777,0.3811615871064872,0.38104455675196247,[0.56476462 0.44023103],[0.59352601 0.41959521],[0.62088287 0.42023659],[0.63526332 0.43026838],[0.61656922 0.44613692],[0.58989066 0.44734445]
14,0.4000133944222425,0.36670936668666493,0.3833613805544537,[0.57192981 0.43985909],[0.59938741 0.42037886],[0.62521094 0.42210209],[0.63892961 0.4323768 ],[0.62150681 0.44776496],[0.59614933 0.44819707]
15,0.39612505118179253,0.3565610083728429,0.3763430297773177,[0.57637608 0.44067961],[0.6052295  0.42011282],[0.6325255  0.42154494],[0.64564902 0.43249726],[0.62782925 0.44782615],[0.601134   0.44838321]
16,0.4001350496771977,0.36217510215018167,0.3811550759136897,[0.58361804 0.44016004],[0.61138451 0.42095232],[0.63804621 0.42224091],[0.65055132 0.43198019],[0.63363701 0.44780013],[0.60729116 0.44867826]
17,0.41832289340549755,0.35916284784021646,0.388742870622857,[0.5953719  0.43868381],[0.62151456 0.41846469],[0.64681089 0.41870293],[0.65815306 0.42759353],[0.64274013 0.44413072],[0.61779648 0.44580024]
18,0.43562629232819616,0.3444229454801934,0.3900246189041948,[0.61047322 0.43597937],[0.63465011 0.41642344],[0.65897995 0.41655108],[0.66918409 0.42569792],[0.65546727 0.44133741],[0.63166749 0.44315398]
19,0.5092770156445441,0.35452884747335883,0.43190293155895143,[0.63050807 0.43299282],[0.65132427 0.41363794],[0.67284137 0.4147855 ],[0.68142617 0.42511201],[0.67006052 0.43971106],[0.64938807 0.44096959]
20,0.5277051316833847,0.34043174769535056,0.43406843968936765,[0.64870334 0.42910433],[0.66699225 0.41425461],[0.68497849 0.41702935],[0.69068289 0.42663622],[0.68184382 0.43781191],[0.66426903 0.43745989]
21,0.6397983296947857,0.3843831607176002,0.5120907452061929,[0.66260719 0.43151224],[0.67968005 0.41575864],[0.69668889 0.41773826],[0.70046854 0.42772976],[0.69408166 0.44082808],[0.67748713 0.44111586]
22,0.6720327104235616,0.39507439006351347,0.5335535502435376,[0.67448318 0.43233898],[0.69015193 0.41732275],[0.70584607 0.41892689],[0.70917827 0.42858386],[0.70360661 0.44123018],[0.68824655 0.44173789]
23,0.6958809503741711,0.4154815613004969,0.555681255837334,[0.68304968 0.4338426 ],[0.69760472 0.42155147],[0.71105534 0.4230423 ],[0.71171385 0.43171817],[0.70802248 0.44193107],[0.69461644 0.44220886]
24,0.6892961466416396,0.42284881127852314,0.5560724789600814,[0.68842465 0.43371215],[0.70308137 0.42150387],[0.71622437 0.42236638],[0.71639502 0.43112594],[0.71300673 0.4409706 ],[0.69986391 0.4410851 ]
25,0.6846442748711407,0.4247901516921925,0.5547172132816666,[0.69349825 0.42854494],[0.70716661 0.41769871],[0.71922565 0.41892371],[0.71871489 0.42758512],[0.71582335 0.43553472],[0.70371687 0.43495527]
