FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.33445380355522747,0.24569635618054328,0.2900750798678854,[0.61420655 0.55302387],[0.64525139 0.5334096 ],[0.6751529  0.53483534],[0.69317961 0.54393041],[0.67257798 0.55963087],[0.64282358 0.56155092]
2,0.3350830969606793,0.25795517472731233,0.2965191358439958,[0.613428   0.54657322],[0.64469361 0.52682829],[0.67417914 0.52834952],[0.69142437 0.53790903],[0.67129797 0.55285436],[0.64188737 0.55460531]
3,0.33374610088660334,0.25825444158129485,0.2960002712339491,[0.61267859 0.54022217],[0.64403695 0.52075535],[0.67395729 0.52232182],[0.69095105 0.53254986],[0.67124307 0.54689676],[0.6416831 0.5484277]
4,0.3025484254629299,0.24116723789508265,0.2718578316790063,[0.60882223 0.53475451],[0.64026189 0.51810598],[0.6682784  0.52058482],[0.68431222 0.52964634],[0.66481584 0.54158211],[0.63646626 0.54231256]
5,0.32046027877593,0.2660516864712276,0.29325598262357877,[0.60878778 0.53177226],[0.63869983 0.51525456],[0.66609699 0.51748908],[0.68230426 0.52683151],[0.66297674 0.53946358],[0.6354295  0.54006958]
6,0.3128537952726195,0.2844459124727377,0.2986498538726786,[0.60820073 0.52861905],[0.63671112 0.51346529],[0.66244888 0.51584637],[0.67807794 0.52473366],[0.65990776 0.53611112],[0.63376021 0.536645  ]
7,0.3027226577525943,0.19878206752874825,0.2507523626406713,[0.60712296 0.52733552],[0.63461119 0.51263332],[0.66031659 0.51424754],[0.67609316 0.52225184],[0.65804672 0.53366029],[0.63217568 0.53482604]
8,0.14860145833213873,0.12505238852205833,0.1368269234270985,[0.60744375 0.52642822],[0.63268685 0.52278399],[0.65710968 0.52515733],[0.67571408 0.52754986],[0.65574974 0.53417653],[0.63004905 0.53363985]
9,0.08303977161567148,0.0841579994841173,0.08359888554989439,[0.60726279 0.52475876],[0.63163894 0.52585465],[0.65613234 0.5284884 ],[0.67601633 0.52875888],[0.65556669 0.53336519],[0.62963033 0.53206635]
10,0.17765735153486295,0.07400567381178533,0.12583151267332415,[0.60581839 0.52351373],[0.63057172 0.51877612],[0.65380526 0.520944  ],[0.67131591 0.52488893],[0.65301257 0.53162104],[0.62836856 0.53115249]
11,0.18574871192668319,0.13538553269588646,0.16056712231128484,[0.60288477 0.52161026],[0.62759668 0.51587653],[0.65009689 0.51800483],[0.66646641 0.52276158],[0.64900726 0.52878833],[0.62528974 0.52845258]
12,0.23495075339705923,0.1818489246075648,0.20839983900231202,[0.60008317 0.51976353],[0.62495673 0.512537  ],[0.6470437  0.51472723],[0.66244733 0.52079523],[0.64563274 0.5284102 ],[0.62235224 0.52787089]
13,0.2551808411961821,0.2107937054964454,0.23298727334631375,[0.59730464 0.51890528],[0.62175977 0.51156664],[0.64336479 0.51438272],[0.6579361  0.52108109],[0.64208746 0.52875495],[0.61941665 0.52793479]
14,0.22981925023954125,0.18912919020045552,0.2094742202199984,[0.59426236 0.51904362],[0.61765331 0.51312107],[0.63901573 0.5155586 ],[0.65464687 0.52180731],[0.63820338 0.52866518],[0.61574042 0.52764803]
15,0.2673732390370132,0.22132857683845564,0.24435090793773442,[0.5899089 0.5181945],[0.61322874 0.51145238],[0.63447863 0.51454949],[0.64943534 0.52205324],[0.63328701 0.52965176],[0.61114824 0.52807182]
16,0.2763563919757687,0.2186744332030974,0.24751541258943305,[0.5846585  0.51866776],[0.60795856 0.51169002],[0.6290437  0.51486039],[0.64391136 0.52292234],[0.62781358 0.5304867 ],[0.60592628 0.52872872]
17,0.27984083269771703,0.2283889110458433,0.25411487187178017,[0.5801419  0.52092797],[0.60336465 0.51363981],[0.62418628 0.51676363],[0.63896209 0.52479774],[0.6232596  0.53242791],[0.60153139 0.53084248]
18,0.2747335078935268,0.23524050485793863,0.2549870063757327,[0.5754801  0.52167618],[0.59871072 0.51435447],[0.61953926 0.51759255],[0.63388163 0.52561992],[0.61811554 0.5328567 ],[0.59640992 0.53102887]
19,0.31099369079171824,0.23943790893095898,0.2752157998613386,[0.57143527 0.51985049],[0.59453523 0.51108354],[0.61534673 0.51454425],[0.62923276 0.52359593],[0.61355793 0.53163558],[0.59220588 0.52977902]
20,0.3326766711759362,0.24509133034389424,0.2888840007599152,[0.56820315 0.51993674],[0.59177011 0.50957716],[0.61288357 0.51308304],[0.62628967 0.52333409],[0.61049366 0.53157187],[0.58918661 0.52948165]
21,0.33629301747040513,0.24795646635511664,0.2921247419127609,[0.56456345 0.52042401],[0.58793098 0.50974804],[0.60895377 0.51291764],[0.62237293 0.52261811],[0.60688144 0.53148276],[0.58566958 0.52985066]
