FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.4173384391816508,0.34310906814960934,0.3802237536656301,[0.58941525 0.54358149],[0.61152011 0.52470112],[0.63272893 0.52535212],[0.64521527 0.53622144],[0.63060182 0.54775733],[0.60971427 0.54910684]
2,0.432882945607903,0.341132900423491,0.387007923015697,[0.59081048 0.54287094],[0.61228383 0.52468371],[0.63314545 0.52561051],[0.64568746 0.53556359],[0.63063872 0.54855001],[0.61002439 0.54943472]
3,0.4254384074329669,0.3258122922233265,0.3756253498281467,[0.59142339 0.54349959],[0.61309892 0.52516633],[0.63399303 0.52597129],[0.64620823 0.53593874],[0.6320619  0.54833096],[0.61144024 0.54972446]
4,0.4136241139597717,0.33642874738140544,0.3750264306705886,[0.59140122 0.54402363],[0.61310446 0.52590871],[0.63383561 0.52689344],[0.64617836 0.53726131],[0.63182282 0.54853976],[0.61132634 0.54976112]
5,0.43665492858337585,0.340844977251109,0.38874995291724246,[0.59216219 0.54451805],[0.61384732 0.52560484],[0.63490695 0.52637523],[0.64717424 0.53688538],[0.63268661 0.54945546],[0.61196882 0.55085105]
6,0.42086499420934814,0.3531089569682091,0.3869869755887786,[0.59182847 0.54539341],[0.6136418  0.52731884],[0.63454479 0.52810955],[0.6469301  0.53836322],[0.63285941 0.55038834],[0.61218911 0.5516898 ]
7,0.4180476468505905,0.3383397611923059,0.3781937040214482,[0.59133893 0.54549402],[0.61351275 0.5276826 ],[0.63461995 0.52864927],[0.64705974 0.53867114],[0.6325658  0.55101216],[0.61163694 0.55208945]
8,0.424547113436493,0.33448799152744785,0.3795175524819704,[0.59148526 0.545394  ],[0.61369681 0.52729023],[0.63508791 0.52834082],[0.64747953 0.53845954],[0.63311446 0.55111843],[0.61205316 0.5522809 ]
9,0.43149584744031005,0.3380904849215972,0.3847931661809536,[0.59208    0.54563469],[0.6138922  0.52752614],[0.63487005 0.52887821],[0.6469909  0.53916347],[0.63277233 0.55146718],[0.61213762 0.55249399]
10,0.4395383350876157,0.33066181403735684,0.3851000745624863,[0.59151256 0.54601049],[0.61361325 0.52733183],[0.63498187 0.52839947],[0.64718753 0.53850138],[0.63268512 0.55184489],[0.61168921 0.55308813]
11,0.42027798062965793,0.3335737353743883,0.3769258580020231,[0.59140825 0.54661715],[0.61336893 0.52838969],[0.63447756 0.52951765],[0.64693123 0.53994036],[0.63252902 0.55180752],[0.61170113 0.55296469]
12,0.42141987950155113,0.3331986516571244,0.37730926557933775,[0.59098381 0.54596609],[0.61305684 0.52745146],[0.63424391 0.52833807],[0.64660716 0.53868556],[0.63225955 0.5507943 ],[0.61140156 0.55213374]
13,0.4314396315905006,0.3379932204658579,0.38471642602817924,[0.59079766 0.54633099],[0.61284685 0.52794838],[0.63400531 0.52894384],[0.64634961 0.53888291],[0.63214505 0.55185091],[0.61118722 0.55327511]
14,0.4367756213904799,0.3440542226925205,0.3904149220415002,[0.59013021 0.54640239],[0.61240053 0.52693951],[0.63381553 0.52777964],[0.64609897 0.53826147],[0.631338   0.55124664],[0.61026394 0.55265957]
15,0.41555907757704685,0.34223248646862564,0.37889578202283625,[0.59047914 0.54599589],[0.61238641 0.52827376],[0.63335353 0.52935934],[0.64563459 0.53904146],[0.63162309 0.5511905 ],[0.6108849  0.55253136]
16,0.41712956135395307,0.3472446542773053,0.38218710781562915,[0.58934855 0.54628158],[0.61165631 0.52789348],[0.63315749 0.52865934],[0.64571363 0.53912139],[0.63132203 0.55121827],[0.61013597 0.55261427]
17,0.4288424758630496,0.3383036872063637,0.38357308153470665,[0.58993942 0.54635137],[0.61179453 0.52766657],[0.63288432 0.52861851],[0.64512956 0.53919047],[0.63086331 0.55127406],[0.61010993 0.55259675]
18,0.432954217554874,0.3447392179119434,0.38884671773340873,[0.5889532  0.54615849],[0.61125267 0.5268206 ],[0.63272041 0.52782822],[0.64507407 0.53862357],[0.63044584 0.55108219],[0.60935825 0.55241722]
19,0.4186437964914209,0.3321239196902758,0.3753838580908484,[0.59014857 0.54648316],[0.61182749 0.52859485],[0.63252902 0.5296796 ],[0.64480197 0.53981334],[0.63071477 0.55150104],[0.61025345 0.55274701]
20,0.4356176911424194,0.3201172051089737,0.3778674481256965,[0.58969223 0.54685551],[0.61202645 0.52804792],[0.63332671 0.52916735],[0.64565527 0.53997141],[0.63106179 0.55263007],[0.60998875 0.55351925]
21,0.4074912291912625,0.30799822962855145,0.357744729409907,[0.58964229 0.54629815],[0.61166364 0.5285688 ],[0.63286853 0.52948195],[0.64553428 0.53931785],[0.63117963 0.55129784],[0.6102621  0.55255157]
22,0.41937207980927543,0.3248729544340266,0.372122517121651,[0.58936089 0.54568911],[0.6116823  0.52776819],[0.63304448 0.52869141],[0.64530832 0.53868526],[0.63119769 0.55126727],[0.61018956 0.55236351]
23,0.4113781645061007,0.3292545709945073,0.37031636775030397,[0.59014016 0.54680145],[0.61241221 0.52907622],[0.63361961 0.53012252],[0.64588314 0.54030025],[0.63165516 0.55213964],[0.61071718 0.55308563]
24,0.41473159586543673,0.3171843636695795,0.3659579797675081,[0.58973747 0.54642963],[0.61188984 0.52847791],[0.63305002 0.52971655],[0.64543331 0.54030555],[0.63088    0.55180162],[0.60998613 0.55268782]
25,0.3913945077280168,0.30395388335646273,0.3476741955422398,[0.5902617  0.54663187],[0.61235976 0.52977037],[0.63337171 0.53069526],[0.64569378 0.54028356],[0.63150775 0.55142039],[0.61079198 0.55258304]
26,0.385184534585062,0.2707593878436483,0.3279719612143551,[0.59055448 0.54699481],[0.61272168 0.53038633],[0.63373029 0.53168082],[0.64608079 0.54179442],[0.63149977 0.55206639],[0.61077762 0.55275774]
27,0.35319422161024805,0.2366265252677628,0.2949103734390054,[0.59142238 0.54767501],[0.61309457 0.5321486 ],[0.63378876 0.53298998],[0.64610302 0.54197186],[0.63169712 0.55139506],[0.61135393 0.55238563]
28,0.2610339614994278,0.08734306488516959,0.1741885131922987,[0.59056431 0.54984629],[0.61157238 0.53879315],[0.63205588 0.53948867],[0.645468   0.54632497],[0.6304822  0.55295503],[0.61018854 0.55389422]
29,0.05330502369336986,0.04754959389311131,0.05042730879324059,[0.59051406 0.55266428],[0.61092758 0.55401838],[0.63238007 0.55634999],[0.64955771 0.55566895],[0.63070786 0.55849963],[0.60880566 0.55690092]
30,0.05927606434169678,0.059858419532959735,0.05956724193732826,[0.59134126 0.55216771],[0.61111164 0.55428594],[0.6321249  0.55721974],[0.64947718 0.55690944],[0.63037342 0.55976892],[0.60885173 0.5573684 ]
31,0.04688229784359905,0.015824659491407364,0.03135347866750321,[0.59244365 0.5514881 ],[0.61227769 0.55520946],[0.63361669 0.5579623 ],[0.65070027 0.55651861],[0.63174456 0.55975217],[0.61010242 0.55711621]
32,0.04274009737861987,0.03217801512906093,0.0374590562538404,[0.59223306 0.55210233],[0.61191171 0.55521816],[0.63300484 0.55794609],[0.65026146 0.55704433],[0.63130164 0.55944747],[0.60981047 0.55692601]
33,0.04736163729750583,0.05131406205763931,0.04933784967757257,[0.5917111  0.55211103],[0.61173439 0.55570292],[0.63314193 0.55800861],[0.65037757 0.55617398],[0.63055694 0.55879998],[0.6089288  0.55629301]
34,0.04042579259549796,0.047040796064741416,0.04373329433011969,[0.59146386 0.55197853],[0.61185807 0.55439299],[0.63358057 0.55688632],[0.65089136 0.55618382],[0.63153118 0.55782622],[0.60954636 0.55549788]
35,0.060763463429562424,0.12951093943701264,0.09513720143328754,[0.59245932 0.55123079],[0.61249852 0.55156797],[0.63310152 0.55382508],[0.64942789 0.55449349],[0.63078028 0.55615216],[0.60990071 0.55412865]
36,0.11272215770845286,0.1374864288105684,0.12510429325951064,[0.59113902 0.5502404 ],[0.61191815 0.54567343],[0.63207078 0.54688954],[0.64679164 0.54999471],[0.62975031 0.55229414],[0.609317   0.55180991]
37,0.22504825333743483,0.1933217414211955,0.20918499737931517,[0.58978164 0.54618746],[0.61031282 0.53541785],[0.63026053 0.53675342],[0.6432665  0.54365045],[0.62804836 0.54763716],[0.60859418 0.54829782]
38,0.3360292747322672,0.2921180945734637,0.31407368465286545,[0.58820039 0.54569471],[0.6098451 0.5300048],[0.63041222 0.531385  ],[0.64250708 0.53974754],[0.62746745 0.54833913],[0.60745507 0.54936534]
39,0.38825796386259537,0.3164979820965397,0.3523779729795675,[0.58884555 0.545636  ],[0.60996693 0.52731138],[0.63085121 0.52815789],[0.64299673 0.53884476],[0.62791342 0.54816753],[0.60797018 0.54937571]
40,0.3953213370146487,0.3463786201992507,0.3708499786069497,[0.58880305 0.54570639],[0.60983855 0.52694881],[0.63087016 0.52806008],[0.64329916 0.53948033],[0.62775582 0.54856163],[0.60774475 0.54948223]
41,0.3938738385086776,0.3521600507660533,0.37301694463736546,[0.5891661  0.54501313],[0.60989988 0.5268079 ],[0.63072979 0.52802265],[0.64308333 0.53898758],[0.62823778 0.54808486],[0.60836554 0.54927677]
42,0.39506666937472495,0.35277089726907246,0.3739187833218987,[0.58753937 0.54437494],[0.60930991 0.52611673],[0.63049316 0.52726591],[0.64264494 0.53768319],[0.62782347 0.54791635],[0.60737568 0.5490737 ]
