FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.3221184466459747,0.27018988534098404,0.2961541659934794,[0.44782075 0.61884457],[0.46548018 0.60919482],[0.4811464  0.61101377],[0.49029005 0.61659485],[0.47675496 0.62384266],[0.46117198 0.6223461 ]
2,0.3180105055836736,0.25146691535007876,0.28473871046687615,[0.44778016 0.62025356],[0.46578661 0.61088413],[0.48218879 0.61255467],[0.49169511 0.61789376],[0.47754854 0.62560081],[0.46129364 0.62427479]
3,0.33141428764243697,0.26223536361484096,0.296824825628639,[0.44959721 0.62207389],[0.46685216 0.61207789],[0.48268577 0.61382437],[0.49207836 0.61967498],[0.47839621 0.62701303],[0.46279415 0.62582535]
4,0.3089163325999891,0.2820857312270082,0.29550103191349864,[0.44895703 0.62310231],[0.46763965 0.61338574],[0.48444268 0.61534733],[0.49360386 0.62103117],[0.47979593 0.62802863],[0.46322593 0.62678564]
5,0.3301712631661964,0.29484109676697473,0.3125061799665856,[0.44935244 0.62512863],[0.46625108 0.61576217],[0.48162732 0.61752385],[0.49096966 0.62291753],[0.47714761 0.63054299],[0.46195507 0.62882602]
6,0.3241195771779286,0.34319149896668955,0.3336555380723091,[0.44779766 0.63468623],[0.4654102  0.62498969],[0.48085454 0.62606448],[0.49010849 0.63048494],[0.47593814 0.63883382],[0.46036297 0.63791877]
7,0.30318886881484,0.28733730038482214,0.2952630845998311,[0.4474614  0.63732421],[0.46589336 0.62684107],[0.48231405 0.62788761],[0.49139956 0.63195193],[0.47750559 0.64011669],[0.46124098 0.63972807]
8,0.34602633543410105,0.18281265021144488,0.264419492822773,[0.45949015 0.63839185],[0.47356409 0.63051081],[0.48691958 0.63258886],[0.49422717 0.63679039],[0.48360759 0.64388549],[0.47023419 0.64234447]
9,0.2949630747948709,0.30911457229224754,0.3020388235435592,[0.44212145 0.64013427],[0.46220106 0.63186127],[0.47991705 0.63495636],[0.48940131 0.64026034],[0.47356445 0.64741224],[0.45627746 0.64444631]
10,0.32078350459695987,0.23531106689030515,0.2780472857436325,[0.44151211 0.6448099 ],[0.45950767 0.63425732],[0.47538471 0.63509881],[0.4844825  0.63938332],[0.47049564 0.64811522],[0.45477185 0.64730763]
11,0.38420015804674557,0.2760023462890207,0.3301012521678831,[0.44180658 0.64272428],[0.45890719 0.63151944],[0.47452027 0.63349104],[0.48363242 0.63952744],[0.46981889 0.64874542],[0.45438877 0.64714974]
