FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.3484625043035438,0.32814914591431255,0.33830582510892815,[0.09980414 0.77243471],[0.11863396 0.75973362],[0.13681203 0.76004094],[0.14870811 0.76531136],[0.13389765 0.77654159],[0.11578575 0.77718878]
2,0.3364266184811626,0.3223003761647365,0.32936349732294956,[0.10189907 0.77171683],[0.12194628 0.75871223],[0.14039472 0.75958896],[0.15225135 0.76612616],[0.13655648 0.77583867],[0.11813657 0.77568084]
3,0.31969451134175253,0.2969749802942774,0.30833474581801495,[0.10402618 0.76940072],[0.12405657 0.75731581],[0.14263546 0.75809735],[0.15473302 0.76451194],[0.13923022 0.77369618],[0.12074104 0.77358699]
4,0.32716053808963447,0.3084201826071252,0.3177903603483798,[0.10678541 0.76759601],[0.12665156 0.75594378],[0.14477845 0.7573033 ],[0.15646443 0.76376987],[0.14068285 0.77271509],[0.12262219 0.77210462]
5,0.32614788561335545,0.35336550200196937,0.3397566938076624,[0.10673054 0.76781309],[0.12749499 0.7562412 ],[0.14614595 0.75775361],[0.15804306 0.76437229],[0.14235434 0.7736553 ],[0.12351982 0.77297413]
6,0.33147875404395877,0.3155906373249473,0.32353469568445303,[0.1066608  0.76970059],[0.12664807 0.75863504],[0.1449942  0.76027799],[0.15688047 0.76665378],[0.14117931 0.77608395],[0.12275558 0.77528089]
7,0.3049230096616173,0.3075531034177278,0.3062380565396725,[0.10216829 0.7760908 ],[0.12128858 0.76496071],[0.13944274 0.76555014],[0.15176597 0.77061266],[0.13585016 0.78004301],[0.11783969 0.7800715 ]
8,0.15607384795639817,0.2315412754813503,0.19380756171887425,[0.09735514 0.7822383 ],[0.11636761 0.77908981],[0.13585645 0.77886796],[0.15107246 0.77819228],[0.13240722 0.78675574],[0.11265937 0.78641045]
9,0.10860502467574068,0.23389476582023366,0.17124989524798717,[0.08978979 0.78628951],[0.10808764 0.78813028],[0.12793955 0.78894335],[0.14385544 0.7854296 ],[0.12298585 0.79272723],[0.10318159 0.79064184]
10,0.2513537766689819,0.32745389693598803,0.28940383680248494,[0.08159009 0.78860462],[0.0994003  0.78051317],[0.11729796 0.78188515],[0.13103646 0.7850917 ],[0.1126653 0.7931658],[0.09505738 0.79247397]
11,0.3194208226942086,0.33379918373680945,0.32661000321550904,[0.07637241 0.78768462],[0.09441755 0.77725708],[0.11216551 0.7794559 ],[0.12533143 0.78490573],[0.10756762 0.79387921],[0.09012394 0.79286629]
12,0.34393766922217406,0.3366615851356512,0.3402996271789126,[0.0752809 0.7867384],[0.09294238 0.77517051],[0.11056498 0.77689981],[0.12341331 0.78303683],[0.10585432 0.79242706],[0.08883947 0.79164815]
13,0.3345627288003518,0.3792781010459865,0.35692041492316917,[0.07518739 0.78662157],[0.09300484 0.77506858],[0.1098091 0.7768169],[0.12206056 0.78291553],[0.10480109 0.79135364],[0.08836652 0.79047209]
14,0.33166220263453816,0.3552488179092814,0.3434555102719098,[0.07428752 0.78498203],[0.09246733 0.77381748],[0.10958013 0.77582222],[0.12201492 0.78187352],[0.10537823 0.79059649],[0.08834821 0.78965628]
15,0.3251394816693683,0.3688663174813616,0.34700289957536495,[0.07430037 0.78325206],[0.09272101 0.77276218],[0.11010341 0.77490109],[0.12243829 0.78075093],[0.10583048 0.78945774],[0.088579   0.78839731]
16,0.3069588974503379,0.3809712902165161,0.343965093833427,[0.07338487 0.78358102],[0.09133071 0.77282333],[0.10812531 0.77467579],[0.12037782 0.78040433],[0.1036782  0.78795135],[0.08699881 0.78709543]
17,0.325281268475499,0.36169071114417883,0.3434859898098389,[0.07359163 0.7850498 ],[0.09156305 0.7737397 ],[0.10885031 0.77549177],[0.12142061 0.78131169],[0.10462631 0.79000741],[0.08752774 0.78931844]
18,0.31882209656486504,0.3756328414841591,0.34722746902451207,[0.07137446 0.78735948],[0.08901905 0.77625525],[0.10579484 0.77805257],[0.11801296 0.78368831],[0.101477   0.79184359],[0.08491516 0.7910772 ]
19,0.33336487251588987,0.41624549715427556,0.37480518483508274,[0.07277877 0.78980803],[0.09047456 0.77828801],[0.1072489  0.78030974],[0.11949583 0.78621328],[0.10279641 0.7947793 ],[0.08624778 0.7938239 ]
20,0.3314275761102282,0.38041327827475063,0.3559204271924894,[0.07451185 0.79139197],[0.09278902 0.77979195],[0.11010004 0.78161991],[0.12256335 0.78754586],[0.10569019 0.79653704],[0.08856252 0.79563564]
21,0.33452923991655825,0.4029988423150167,0.3687640411157875,[0.07694986 0.79094261],[0.09487377 0.77963901],[0.11218569 0.78151119],[0.12475671 0.78739005],[0.1081761  0.79658699],[0.09106064 0.7956655 ]
22,0.3422940052517179,0.3639143427722767,0.3531041740119973,[0.0794504  0.79125297],[0.0974221  0.77855909],[0.11545631 0.77974463],[0.1281129  0.78584152],[0.1118302 0.7956329],[0.09427204 0.79549086]
23,0.34303459635215994,0.375637310547928,0.359335953450044,[0.0812361  0.79125935],[0.09863408 0.77960652],[0.11558624 0.7813434 ],[0.12804158 0.78739125],[0.11112655 0.79639989],[0.09458922 0.79562181]
24,0.3245094236033398,0.3816254042497435,0.3530674139265416,[0.08161648 0.79105598],[0.099158   0.77974248],[0.11612688 0.78165072],[0.12850033 0.78758413],[0.11130296 0.79573506],[0.09479453 0.79474509]
25,0.3402674087456474,0.43692446804694773,0.3885959383962976,[0.08300927 0.79065609],[0.10074532 0.77855098],[0.1179397  0.78028476],[0.13030665 0.78616285],[0.11330816 0.79534215],[0.0965535  0.79459113]
26,0.3411479417197361,0.4195420291377064,0.38034498542872125,[0.08486938 0.79109669],[0.10210578 0.77877462],[0.11942779 0.78050274],[0.13200405 0.78690487],[0.1150097  0.79554492],[0.09836723 0.79495752]
27,0.32733908179917476,0.3783461711498025,0.3528426264744886,[0.08582126 0.79040265],[0.10365612 0.77853596],[0.12101352 0.77991104],[0.13331369 0.78551   ],[0.1163453  0.79447871],[0.09950078 0.79394495]
28,0.347755210581054,0.38207227915957875,0.36491374487031636,[0.08730082 0.79042214],[0.10542996 0.77835107],[0.12280212 0.77980888],[0.13498166 0.78551424],[0.11791934 0.79557091],[0.10099901 0.79459429]
29,0.32616216451867697,0.34608170090155127,0.33612193271011415,[0.08845372 0.79004985],[0.10670336 0.77858657],[0.12393221 0.78000236],[0.13622478 0.7855255 ],[0.11916126 0.79474604],[0.10229329 0.79376411]
30,0.35067646649148043,0.3992946623347436,0.37498556441311204,[0.09045841 0.79050756],[0.1094189  0.77785593],[0.12715466 0.77919501],[0.13943756 0.78551656],[0.12146474 0.79559916],[0.10421383 0.79421443]
31,0.3523200972848313,0.3914191532172532,0.3718696252510423,[0.09055407 0.79076391],[0.10940271 0.77742183],[0.12715568 0.7785272 ],[0.13942347 0.78493893],[0.12190419 0.7950229 ],[0.10466649 0.79413122]
32,0.3328717462011953,0.3938198322076533,0.3633457892044243,[0.09099244 0.7913456 ],[0.11021765 0.77826756],[0.12831537 0.77945912],[0.14089213 0.78614265],[0.12292285 0.7952227 ],[0.10537672 0.79429239]
33,0.3400667847208801,0.3679369607286473,0.3540018727247637,[0.09185947 0.79142445],[0.11084019 0.77857953],[0.12862951 0.78009439],[0.14108326 0.78687841],[0.12298734 0.79592788],[0.10575878 0.79460573]
34,0.35149745876375504,0.3619738684721281,0.35673566361794157,[0.0916832 0.7916652],[0.11053158 0.77876341],[0.12822936 0.78003412],[0.14088565 0.78647417],[0.12303771 0.79660326],[0.10570482 0.79549885]
35,0.33405471113186735,0.38727341505061413,0.36066406309124077,[0.09284948 0.79136729],[0.11160273 0.779149  ],[0.12915769 0.78059196],[0.14152107 0.78665626],[0.12395702 0.79597014],[0.10677147 0.79485905]
36,0.35671688893481396,0.3937926591385488,0.3752547740366814,[0.09221282 0.7906574 ],[0.11020391 0.77791089],[0.12765719 0.77990836],[0.13969475 0.78663492],[0.1230891  0.79572797],[0.1061601  0.79496872]
37,0.36631536569491935,0.3784813548915595,0.3723983602932394,[0.0943154  0.79032123],[0.1109893  0.77793318],[0.12757277 0.77978384],[0.14015107 0.78636032],[0.12291366 0.7955575 ],[0.10684717 0.79468715]
38,0.3616390547198203,0.40931244535617267,0.3854757500379965,[0.09521228 0.79024404],[0.1124472  0.77811074],[0.12921083 0.7800777 ],[0.14136511 0.78649485],[0.12424719 0.79567933],[0.10802016 0.79464751]
39,0.3464010681827522,0.4052675983039278,0.37583433324334,[0.09520143 0.78879374],[0.11325829 0.77710843],[0.13028742 0.77907842],[0.14198886 0.78514087],[0.12513402 0.79419708],[0.10855024 0.79296446]
40,0.3488050870615217,0.4209319678330543,0.384868527447288,[0.0976342  0.78798091],[0.11564541 0.77622104],[0.13277784 0.77837574],[0.14450172 0.78441441],[0.12747636 0.79358071],[0.1108219 0.7921958]
41,0.353094734478019,0.43306108467711196,0.3930779095775655,[0.09989644 0.78790039],[0.11764582 0.77587581],[0.13467148 0.77812302],[0.14653929 0.7844243 ],[0.12953417 0.79343027],[0.11307398 0.79212874]
42,0.3487152514648016,0.4200429528556966,0.38437910216024906,[0.10060389 0.78857982],[0.11850836 0.77667207],[0.13555682 0.77817333],[0.14735332 0.78407663],[0.13084504 0.7936064 ],[0.11422861 0.79273063]
43,0.34010167112957396,0.42885707258578937,0.38447937185768166,[0.10033403 0.78847051],[0.11866479 0.77654213],[0.13615507 0.7779302 ],[0.1480343  0.78384179],[0.13174713 0.79331124],[0.11467934 0.79265463]
44,0.33960942289070084,0.4014815574392273,0.3705454901649641,[0.10040793 0.78845572],[0.11803737 0.77720994],[0.13513722 0.77920783],[0.14731954 0.78533918],[0.13028979 0.79412848],[0.11373161 0.7928741 ]
45,0.3389181845352419,0.42444844097755885,0.3816833127564004,[0.10013491 0.78993052],[0.11766037 0.77831316],[0.13467741 0.78002995],[0.14698946 0.78622812],[0.13004738 0.79491246],[0.11343873 0.79402864]
46,0.21968605773819241,0.3267799496166418,0.2732330036774171,[0.10020488 0.78951997],[0.11775066 0.78380179],[0.13480909 0.78468877],[0.14813125 0.78694916],[0.13062181 0.79432106],[0.11352529 0.79350656]
47,0.1263392334800762,0.23685940062829947,0.18159931705418783,[0.10045344 0.78961569],[0.11733911 0.79074967],[0.13523722 0.79193497],[0.15022048 0.78994238],[0.12971881 0.79588574],[0.11222891 0.79346853]
48,0.09673450123648858,0.2365961206103498,0.16666531092341919,[0.10136579 0.79094172],[0.11789142 0.79418892],[0.13605693 0.79544258],[0.15147528 0.79223204],[0.13157932 0.79812986],[0.11366785 0.79567003]
49,0.19795654133581841,0.3319605973188922,0.2649585693273553,[0.09976247 0.78772837],[0.11710037 0.78355712],[0.13420524 0.7848236 ],[0.14748013 0.78625876],[0.12959319 0.79319137],[0.11264548 0.7917735 ]
50,0.34567845668744723,0.4204204078524629,0.383049432269955,[0.09923472 0.79043728],[0.11654127 0.77853125],[0.13375428 0.78007847],[0.14612132 0.78640568],[0.12936668 0.79542553],[0.11277326 0.79467028]
51,0.31606507733405104,0.4170593253337032,0.3665622013338771,[0.09800096 0.7895329 ],[0.11578191 0.7786442 ],[0.13281855 0.78078681],[0.14486267 0.78656507],[0.12817292 0.79446507],[0.11165732 0.79331172]
52,0.343801473399519,0.4205981988564299,0.3821998361279745,[0.09780875 0.78936648],[0.11595184 0.77752703],[0.13342403 0.77947116],[0.14541638 0.78559172],[0.12872452 0.79485559],[0.11182159 0.79376155]
53,0.3362713284295893,0.40852664477186784,0.37239898660072857,[0.09865664 0.78955132],[0.11631221 0.77818447],[0.133481   0.77988303],[0.14569212 0.78580815],[0.12887728 0.79478163],[0.11224483 0.79380327]
54,0.3475786197957127,0.4324488242910906,0.3900137220434017,[0.10006073 0.78980166],[0.11731799 0.77799386],[0.13435701 0.77966505],[0.1466763  0.78582114],[0.13000597 0.79490006],[0.11354259 0.79423988]
55,0.335991120376789,0.41533370556657334,0.3756624129716812,[0.09976649 0.7892465 ],[0.11765336 0.77803862],[0.13483283 0.77995473],[0.1468026  0.78587788],[0.13011181 0.79480714],[0.11342131 0.7935763 ]
56,0.33744165314309776,0.4285129365166485,0.38297729482987314,[0.09918949 0.7891711 ],[0.11744538 0.77780968],[0.13480914 0.77975535],[0.14658563 0.7856003 ],[0.12966946 0.79472899],[0.11281835 0.79338318]
57,0.35061191234202754,0.4509299811247297,0.40077094673337865,[0.09950387 0.78932613],[0.11761332 0.77754557],[0.13499302 0.77959347],[0.14703238 0.785824  ],[0.13000639 0.79527009],[0.11311512 0.79390633]
58,0.360272068032618,0.4459635289928314,0.4031177985127247,[0.09945215 0.78938472],[0.11714974 0.77725875],[0.13426149 0.77938104],[0.14622289 0.7858088 ],[0.12896913 0.7951594 ],[0.11248735 0.79376954]
59,0.3493866651525292,0.44185407664794557,0.3956203709002374,[0.09821969 0.78886253],[0.11661195 0.77734041],[0.13406602 0.77950233],[0.14600588 0.78560221],[0.12886657 0.79517353],[0.11190109 0.79363108]
60,0.3551713417078488,0.413955346118573,0.3845633439132109,[0.09881397 0.79025108],[0.11631718 0.77799153],[0.13360646 0.7800101 ],[0.14590362 0.78664041],[0.12910879 0.79573762],[0.11243369 0.7947371 ]
61,0.3370046689469339,0.42090329137985877,0.3789539801633963,[0.09894993 0.79040986],[0.11687207 0.77932465],[0.13386711 0.78126478],[0.14574794 0.78695738],[0.12890589 0.79600465],[0.11225586 0.79472321]
