FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.3001846817186334,0.3196942412929896,0.30993946150581153,[0.11159093 0.64816099],[0.12923083 0.64013827],[0.14544341 0.64207298],[0.15706915 0.64749038],[0.14242309 0.65518636],[0.12610476 0.65363085]
2,0.26959329598364756,0.25353602508125317,0.26156466053245037,[0.10578613 0.66220844],[0.12552296 0.65406036],[0.14325505 0.65526235],[0.15552734 0.6600548 ],[0.14065157 0.6681447 ],[0.12250155 0.66742522]
3,0.3054721341453419,0.26859460423561915,0.2870333691904805,[0.10500036 0.67550814],[0.12401247 0.66517532],[0.14125162 0.66588414],[0.15320009 0.67123508],[0.13833049 0.68014514],[0.12089569 0.6798538 ]
4,0.3371918531593588,0.2918842380937994,0.31453804562657905,[0.10698529 0.681952  ],[0.12604748 0.669752  ],[0.14353561 0.67032599],[0.15492585 0.67644364],[0.13986045 0.68606853],[0.12240791 0.68571967]
5,0.350188408064277,0.2712122535032619,0.31070033078376946,[0.10781734 0.68247831],[0.12591405 0.66963845],[0.14284521 0.67011416],[0.15415785 0.67636657],[0.13973293 0.68594396],[0.12284397 0.68595618]
6,0.3384613967332003,0.27153631917862653,0.3049988579559134,[0.10882294 0.67665398],[0.12686989 0.66449273],[0.14368972 0.66446835],[0.15523753 0.66977811],[0.14043318 0.68002999],[0.12358123 0.68001133]
7,0.3165833049299898,0.2794056847487114,0.2979944948393506,[0.11224788 0.6697138 ],[0.12897    0.65830916],[0.14500724 0.65833831],[0.1562406  0.66343373],[0.14229797 0.67191797],[0.12635668 0.67235798]
8,0.326787197931463,0.30438464741618104,0.315585922673822,[0.114502   0.66329002],[0.13199538 0.65143222],[0.1482892  0.65151578],[0.15912661 0.65667701],[0.14441645 0.66582984],[0.12827051 0.66560626]
9,0.3269493017166534,0.28787510688857787,0.3074122043026156,[0.11692891 0.65914255],[0.13466708 0.64636254],[0.15143605 0.64613819],[0.16280174 0.65200281],[0.14820741 0.66097522],[0.13159133 0.66122061]
10,0.34137846104301045,0.2913202285717583,0.3163493448073844,[0.12013124 0.65653062],[0.13788441 0.6435129 ],[0.15464261 0.64346671],[0.16576082 0.64969707],[0.15186355 0.65887153],[0.13527647 0.6591447 ]
11,0.36642648402875966,0.2715319143838438,0.3189791992063017,[0.12264015 0.65796536],[0.14037611 0.64444476],[0.15711054 0.64449245],[0.16808546 0.6512484 ],[0.15376844 0.66103286],[0.13726458 0.66094583]
12,0.36117486922202746,0.2726246175678733,0.3168997433949504,[0.12268107 0.66034722],[0.14067811 0.64727986],[0.15744573 0.6474278 ],[0.16817176 0.65395081],[0.15408151 0.66367608],[0.13745843 0.66355497]
13,0.3348351907791694,0.30683350448403846,0.3208343476316039,[0.12116815 0.66187197],[0.1393528  0.64978331],[0.15621936 0.6501708 ],[0.16691801 0.65651631],[0.15261978 0.66519022],[0.13592669 0.66479921]
14,0.32854030674691326,0.30475951463754103,0.31664991069222714,[0.11925389 0.66403019],[0.13742237 0.6521405 ],[0.15427339 0.65258276],[0.16539299 0.65912157],[0.15001592 0.66742331],[0.13348827 0.66666621]
15,0.341766681899996,0.29946281395251073,0.32061474792625333,[0.11807431 0.66536123],[0.13643427 0.65300941],[0.15372671 0.65346771],[0.16496447 0.66006929],[0.1494915  0.66920036],[0.13258889 0.66850102]
16,0.3567078959129942,0.2950893555272129,0.32589862572010353,[0.11764736 0.66534323],[0.13610074 0.65211803],[0.15336531 0.65269345],[0.16454881 0.65989017],[0.14896221 0.66907424],[0.13219754 0.66837955]
17,0.30526512926175253,0.28542260745813314,0.29534386835994286,[0.11575609 0.6629737 ],[0.1341697  0.65281773],[0.15110308 0.65374702],[0.16283059 0.65980661],[0.14700308 0.66772771],[0.13023421 0.66649884]
18,0.16327440619601613,0.13210627008168502,0.14769033813885057,[0.11439481 0.66222519],[0.13052201 0.66003001],[0.14711189 0.661753  ],[0.16079766 0.66293025],[0.14448677 0.66874707],[0.12759751 0.66713578]
19,0.16909755665190435,0.24597833798254626,0.2075379473172253,[0.11282714 0.65989912],[0.12954094 0.65757251],[0.14603043 0.66021359],[0.1590718  0.66237712],[0.1426052 0.667081 ],[0.12587433 0.66466922]
20,0.3180991410725526,0.3244032386844385,0.32125118987849555,[0.1114859  0.66015518],[0.12953103 0.65047562],[0.14627108 0.65259588],[0.1570687  0.65863889],[0.14272918 0.66622573],[0.12617302 0.66502637]
