FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.32099155397070483,0.24733627097127678,0.2841639124709908,[0.15300885 0.52893472],[0.17075406 0.51641083],[0.18986249 0.51586509],[0.20037007 0.52072299],[0.187144   0.53097725],[0.16865703 0.53177238]
2,0.23225658662213167,0.29582270292926477,0.2640396447756982,[0.18509427 0.53221345],[0.20426506 0.52274299],[0.22438681 0.52256382],[0.23438722 0.52619958],[0.22118679 0.53350788],[0.2018341  0.53415155]
3,0.2839115389405634,0.2806504265841638,0.2822809827623636,[0.2133795  0.54146588],[0.23184535 0.5304113 ],[0.25036439 0.52953464],[0.26150572 0.53350782],[0.24740955 0.54315591],[0.22925371 0.54392523]
4,0.33124763016192,0.32495317994964595,0.328100405055783,[0.23152003 0.54038757],[0.25037298 0.52770013],[0.26870826 0.52687562],[0.28079295 0.53156215],[0.2665177  0.54326761],[0.24817622 0.5441792 ]
5,0.34503048783773943,0.35443661634427337,0.3497335520910064,[0.24426565 0.53064334],[0.26319405 0.51602679],[0.28204578 0.51460856],[0.29458463 0.51922673],[0.28014368 0.53220367],[0.26132768 0.53383732]
6,0.3005330404745232,0.29117140721358276,0.29585222384405296,[0.26251894 0.5127089 ],[0.28126851 0.50057197],[0.29992807 0.49944919],[0.31253111 0.50305569],[0.29731402 0.51454848],[0.27873063 0.51565146]
7,0.2844285702520278,0.28662083466077354,0.28552470245640066,[0.28938106 0.50621766],[0.30841887 0.49231082],[0.32765082 0.49150449],[0.33955982 0.49547777],[0.32461527 0.50535679],[0.30602041 0.507128  ]
8,0.2895434851477375,0.28152754951093506,0.28553551732933624,[0.32326892 0.51161283],[0.34349436 0.4968822 ],[0.36452669 0.49545059],[0.37496722 0.50020927],[0.36170101 0.5100944 ],[0.34154454 0.51250452]
9,0.3353799258297521,0.3031954202764789,0.3192876730531155,[0.35393593 0.51845485],[0.37363198 0.50288522],[0.39348873 0.50217718],[0.40399355 0.50825143],[0.39062679 0.51868904],[0.37138981 0.52025008]
10,0.3763421692442807,0.3909646468035851,0.3836534080239329,[0.36781329 0.5167045 ],[0.38771313 0.5018369 ],[0.40714648 0.50229061],[0.41798863 0.50980055],[0.40384418 0.52096462],[0.38489702 0.52078706]
11,0.39581365515373845,0.3541092262551756,0.374961440704457,[0.36653012 0.51248223],[0.3865529  0.49831039],[0.40552062 0.49991569],[0.41582945 0.50805843],[0.40209985 0.51893997],[0.38356528 0.51793844]
12,0.36775200447551853,0.3200120772371095,0.343882040856314,[0.36084419 0.51350653],[0.38083467 0.50131273],[0.40013456 0.5029034 ],[0.41021663 0.51059449],[0.39657381 0.52074319],[0.37763238 0.51921362]
13,0.3481916696472035,0.33371725385333084,0.34095446175026717,[0.35455894 0.52153474],[0.37318745 0.51076859],[0.39091164 0.51242495],[0.40117419 0.51953471],[0.38748991 0.52843583],[0.37000573 0.52657098]
14,0.36295338969448426,0.34586180458716015,0.3544075971408222,[0.34733748 0.52491277],[0.36604524 0.51469618],[0.38358572 0.51683301],[0.39305627 0.52408826],[0.37969095 0.53313649],[0.36234996 0.53070599]
15,0.38846383172519927,0.3292152648523369,0.3588395482887681,[0.34551057 0.52786964],[0.36334264 0.51695335],[0.38007283 0.51875848],[0.38911563 0.52601361],[0.37620944 0.53552073],[0.35981271 0.53328311]
16,0.39635685834965884,0.33588722552665856,0.36612204193815867,[0.34513003 0.52945095],[0.36256641 0.51823938],[0.37929478 0.51982415],[0.38798332 0.52691698],[0.37619406 0.53651541],[0.35974637 0.53505749]
17,0.40993356589165714,0.333960170705834,0.37194686829874557,[0.34603679 0.53002018],[0.36414918 0.51836276],[0.38133258 0.52029514],[0.39056116 0.52792549],[0.37740141 0.53837585],[0.36059999 0.53605151]
18,0.39236486754235983,0.3342688973454483,0.36331688244390403,[0.34874314 0.52898115],[0.36706722 0.51784843],[0.38438201 0.51967925],[0.39433256 0.52662075],[0.38080582 0.53747797],[0.36375594 0.53520423]
19,0.31373803627855135,0.29714537317182455,0.30544170472518795,[0.35168403 0.52522355],[0.37014955 0.51709199],[0.38719618 0.5199793 ],[0.39757279 0.52549964],[0.3833926  0.53382784],[0.36633927 0.53101319]
20,0.28263804837589257,0.2702859108383333,0.27646197960711294,[0.35936567 0.51268625],[0.37909606 0.50347733],[0.39845413 0.5042904 ],[0.41051981 0.50839019],[0.39588869 0.51827359],[0.37649187 0.51804787]
21,0.3492233695530274,0.33888264143519964,0.34405300549411355,[0.37169668 0.49676603],[0.39192766 0.48372003],[0.41173571 0.48387578],[0.42460969 0.48978239],[0.40859219 0.50222731],[0.38886532 0.50212562]
22,0.34660864367758243,0.34656108369317634,0.3465848636853794,[0.38145551 0.48581326],[0.40327999 0.47146964],[0.42383686 0.47174191],[0.43662333 0.47895479],[0.42053154 0.49078473],[0.40007481 0.49041051]
23,0.33024681281175494,0.34015499583609154,0.33520090432392324,[0.39732918 0.48714313],[0.41910896 0.47276425],[0.44054246 0.47223356],[0.45410874 0.47906139],[0.4368754  0.49129742],[0.41585326 0.49094218]
24,0.3744364245852198,0.37833245272831395,0.37638443865676685,[0.41200751 0.48333025],[0.43377891 0.46804988],[0.45478719 0.46928033],[0.46702266 0.4776544 ],[0.45117879 0.48943973],[0.43053618 0.4887355 ]
