FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.33525882816293884,0.24861496980261982,0.2919368989827793,[0.61421824 0.55314755],[0.64519739 0.53352988],[0.67509252 0.53489077],[0.69313025 0.54386449],[0.67255902 0.55974454],[0.6427896  0.56172144]
2,0.3316163768417309,0.2573870816535519,0.2945017292476414,[0.61330497 0.54638302],[0.64446181 0.52685511],[0.67388886 0.52837765],[0.69116569 0.53782398],[0.67105621 0.55256879],[0.64171302 0.55431229]
3,0.33492392468144344,0.2582819713084296,0.2966029479949365,[0.61254704 0.54019034],[0.64391404 0.52069628],[0.67385787 0.52231359],[0.69081396 0.53264594],[0.67111045 0.54694909],[0.64152145 0.54847515]
4,0.30215576844592706,0.24272772565267967,0.27244174704930335,[0.60886896 0.53494537],[0.64026636 0.51823539],[0.66826189 0.52067357],[0.68435425 0.5297448 ],[0.66486424 0.54164457],[0.63650942 0.54242569]
5,0.3218775508308133,0.26520108196600234,0.2935393163984078,[0.60888708 0.5318318 ],[0.6387189  0.51530921],[0.6660682  0.51755285],[0.68226308 0.52689528],[0.66299081 0.53958499],[0.6354931  0.54019797]
6,0.3118667647999782,0.2846460488774674,0.2982564068387228,[0.60803181 0.5284822 ],[0.63655245 0.51343709],[0.66228807 0.51583666],[0.67792058 0.52466977],[0.65975732 0.53603172],[0.63359642 0.53655261]
7,0.3021477198775072,0.20083409505663938,0.2514909074670733,[0.60718119 0.52727616],[0.63465708 0.51265609],[0.66030896 0.51429856],[0.67607033 0.52232563],[0.65803969 0.53365099],[0.63220811 0.53477263]
8,0.14960795432004415,0.1261266053573524,0.1378672798386983,[0.60733724 0.52633786],[0.6325987  0.52265316],[0.65703869 0.52505451],[0.67563641 0.52754569],[0.65569293 0.53414369],[0.62999833 0.53359967]
9,0.08258780214782607,0.08379691979154757,0.08319236096968682,[0.60721827 0.52479231],[0.63165081 0.52589136],[0.6562016  0.52851784],[0.67611241 0.52878255],[0.65564442 0.53337348],[0.62964934 0.53208733]
10,0.17047719116720322,0.07035900003402629,0.12041809560061476,[0.60594803 0.52353901],[0.6306538  0.51912469],[0.65393442 0.52129918],[0.6715771  0.52502334],[0.65315765 0.53154194],[0.62845075 0.53103268]
11,0.1890772245964785,0.14004169145139134,0.1645594580239349,[0.60282856 0.52163851],[0.6275813  0.51570636],[0.65006363 0.51785731],[0.66637319 0.52272725],[0.64892691 0.52882802],[0.6252284  0.52849549]
12,0.2343983842723449,0.1818215736344617,0.2081099789534033,[0.60003692 0.51973993],[0.62489361 0.5125761 ],[0.64697087 0.51476425],[0.66237485 0.52080482],[0.64558935 0.5284062 ],[0.62232089 0.52787769]
13,0.25290684228725857,0.21044005966174334,0.23167345097450096,[0.5972659  0.51880842],[0.62171489 0.51155806],[0.64330173 0.51438504],[0.65787745 0.52103549],[0.64200526 0.52861255],[0.61935431 0.52777958]
14,0.2324863363635997,0.18983883798085366,0.2111625871722267,[0.59419245 0.51916033],[0.61762536 0.51307184],[0.63900691 0.51547056],[0.65461463 0.52176023],[0.6382184  0.52873516],[0.6157344  0.52778345]
15,0.26795065454111316,0.22163167959220417,0.24479116706665865,[0.58987266 0.51819563],[0.61325234 0.51143378],[0.63453299 0.51455152],[0.64949054 0.52210712],[0.63334346 0.52971673],[0.61117119 0.52811062]
16,0.2769191081645767,0.21998607940691395,0.24845259378574533,[0.5846436  0.51863015],[0.60794812 0.51161844],[0.62902784 0.51480204],[0.64387113 0.52286136],[0.62774158 0.53044862],[0.60586828 0.52867883]
17,0.2812980824169833,0.22769358195152825,0.25449583218425575,[0.58017159 0.52100569],[0.60338402 0.51368368],[0.62420487 0.51679146],[0.63897276 0.52483755],[0.6233055  0.53253454],[0.60157764 0.5309723 ]
18,0.27417479224156494,0.23397890644372712,0.254076849342646,[0.57538527 0.52166927],[0.59863341 0.5143615 ],[0.61946356 0.51762855],[0.63378936 0.52566171],[0.61801416 0.53285134],[0.59631872 0.53101033]
19,0.31036934561704366,0.24044387712183607,0.2754066113694399,[0.57141465 0.51983511],[0.59452778 0.51109183],[0.61535054 0.51451755],[0.62925792 0.52353865],[0.61356616 0.5315963 ],[0.59219861 0.5297544 ]
20,0.3324383172960493,0.24429062149527275,0.288364469395661,[0.5681721  0.51992249],[0.59175801 0.50955439],[0.61289239 0.51305747],[0.62629181 0.52330148],[0.61048043 0.53154206],[0.58916742 0.52945286]
21,0.33586676965042545,0.24794283005305556,0.2919047998517405,[0.56452078 0.52041757],[0.58791941 0.50973916],[0.60895866 0.51291925],[0.62237245 0.52263498],[0.60687858 0.53146958],[0.58564526 0.52983373]
22,0.3305184014015873,0.2476381120290231,0.2890782567153052,[0.56226051 0.52088457],[0.58571881 0.51097322],[0.60671699 0.51418275],[0.62019432 0.52364868],[0.60447878 0.53259444],[0.5831148  0.53059387]
23,0.3400363562594563,0.24492245837189083,0.29247940731567357,[0.56080836 0.52133656],[0.583763   0.51074129],[0.60468531 0.51372278],[0.61815047 0.52338892],[0.60255063 0.53247344],[0.58149266 0.53076297]
24,0.3464879818010018,0.23994525699924674,0.2932166194001243,[0.5598141 0.5208903],[0.58236063 0.51014048],[0.60306633 0.51304567],[0.61628199 0.52235627],[0.6009708  0.53177965],[0.58019876 0.53031826]
25,0.3343041235936835,0.24129732248526004,0.2878007230394718,[0.5578109 0.5207684],[0.58088839 0.5100925 ],[0.60201603 0.51261032],[0.6154564 0.5214448],[0.60060805 0.53091538],[0.57928944 0.53021485]
26,0.3285427486837919,0.24054858957441708,0.2845456691291045,[0.5574469  0.51821291],[0.58086205 0.50746489],[0.60228944 0.51003581],[0.61548322 0.51868302],[0.6007672  0.52802747],[0.57920879 0.52747685]
